geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
6000000000545004406	NN of the United Kingdom Prinz	Q75384228	Q75384228	child	Alfred Ernest Albert of Saxe-Coburg and Gotha of the United Kingdom Duke of Saxe-Coburg and Gotha	M	alexandrovna alfred and duchess duke gotha saxecoburg
6000000000602274383	James Tate, I	Q16854314	Q16854314	child	William Tate	M	
6000000000606297374	Elvira Santamarina Irazusta	Q134403442	Q134403442	child	Ana Bautista Irazusta Alduncín	F	
6000000000609971732	Yolande de Hennin Liétard Boussu	Q110313923	Jolande de Henin	child	Philippe de Hénin	F	catherine henin ligne philippe
6000000000628827029	Thomas Garth	Q26256192	Q26256192	child	Sophia Matilda of Hanover of the United Kingdom	M	
6000000000629551916	Mairgret O'Cearbhuill	Q6759780	Q6759780	child	Tiege Aibhle O'Cearbhuill Prince of Éile	F	
6000000000632025077	Wilhelmina Frederika Anna Elisabeth Marie	Q2367197	Q2367197	child	Willem Frederik Karel van Oranje-Nassau	F	frederik louise prussia
6000000000632155459	Olga Alexandrovna Yurievskaya	Q3350398	Q3350398	sibling	Alexandra Alexandrovna Romanova	F	alexander alexandra alexandrovich alexandrovna duchess grand iii
6000000000640378260	Leonor de la Cerda de Aragón y Navarra	Q112718315	Leonor de La Cerda y Navarre	child	Ana de Aragón y Navarra	F	
6000000000641053644	Dulce de Province comtessa de Provença	Q268095	Q268095	child	Richeza	F	
6000000000641071382	Georges de Clermont d'Amboise II	Q136093701	Georges II de Clermont, Marquis de Gallerande	child	Georges I de Clermont Seigneur de Clermont, Marquis de Gallerande	M	clermont damboise gallerande georges marquis seigneur
6000000000641986516	James Hamilton	Q75284188	Q75284188	child	Margaret Hamilton	M	hamilton
6000000000658142400	Elizabeth Darcy	Q75273383	Q75273383	child	John Conyers	F	conyers darcy john
6000000000668375843	Thomas McKay	Q7792321	Q7792321	child	Alexander MacKay	M	alexander mackay
6000000000699318327	Johann Edzard von Ostfriesland	Q452319	Rudolf Christian, Count of East Frisia	sibling	Agnes von Ostfriesland	M	agnes enno iii ostfriesland
6000000000699450410	Christina Sophia von Ostfriesland Landgräfin zu Hessen-Darmstadt-Butzbach	Q10261689	Christina Sophia of East-Frisia	child	Anna von Holstein-Gottorp Prinzessin, Gräfin zu Ostfriesland	F	christian enno iii rudolf ulrich
6000000000717647241	Helene Cäcilie Theresia Immaculata Victoria Sophia Franziska Monika von Carlow	Q75392542	Q75392542	child	Georg Alexander Michael Friedrich Wilhelm Albert Theodor Franz of Mecklenburg Count of Carlow, Duke of Mecklenburg-Strelitz	F	alexander duke georg mecklenburgstrelitz
6000000000726751035	Max von Hellens	Q11881863	Max von Hellens	child	Lars Hjalmar von Hellens	M	
6000000000728013243	Sultana Mourousi	Q102228098	Domnitza Sultana Mavrocordat	child	Nicolae Mavrocordat	F	mourousi
