qid,geni_id,label,in_universe,wikidata_degree,wd_bure_in_component,wd_nearest_bure_hops,tree_bure_in_component,tree_nearest_bure_hops
Q6255155,6000000013400675492,Gustaf Fredrik Åkerhielm af Margretelund,1,6,231,2,250,2
Q6330080,342032974900007076,Elof Steuch till Duveke,1,8,231,1,250,1
Q633094,6000000004334763223,Johannes Thomæ Agrivillensis Bureus,1,12,231,1,250,1
Q657814,6000000012617406308,Hans Henrik von Essen,1,9,231,1,250,1
Q692994,6000000007247681864,Henrik Benzelius,1,7,231,1,250,2
Q717179,6000000011637024489,Arvid Bernhard Horn af Ekebyholm,1,8,231,1,250,1
Q719983,6000000011116437821,Johan Ihre,1,8,231,1,250,1
Q763053,6000000013296288034,Henning Adolf Gyllenborg,1,6,231,1,250,1
Q792307,6000000017999766001,Axel Otto Mörner af Morlanda,1,8,231,1,250,2
Q805827,6000000006127899214,Baltzar Carl von Platen,1,7,231,6,250,6
Q821990,6000000010837141342,Christopher Jacob Boström,1,1,231,6,250,7
Q900478,6000000004138124294,Vilhelm Hisinger,1,3,231,1,250,1
Q930758,6000000009785836259,Carl Aurivillius von Rosenstein,1,9,231,1,250,1
Q932770,6000000019273184653,Gustaf von Paykull till Valloxsäby och Hässelby,1,6,231,7,250,3
Q943803,6000000002811012188,Uno von Troil,1,6,231,1,250,1
