qid	label	geni_ids	in_corpus	shape	detail
Q10944285	Kong Zongyuan	6000000012967288091;6000000075062219821	0	neither profile is in our corpus	
Q109569292	Dr. Heinz Oppenheim	6000000036036904264;6000000077768168004	0	neither profile is in our corpus	
Q109674806	Per Henrik Landegren	6000000030831012053;6000000040827359603	0	neither profile is in our corpus	
Q109687993	Joseph Fairbanks, I	6000000011769638909;6000000201845052833	0	neither profile is in our corpus	
Q109780788	Bohdana Połubińska	6000000030818285568;6000000039319948721	0	neither profile is in our corpus	
Q109854773	Arnold Buffum	6000000000555547075;6000000015115498411	0	neither profile is in our corpus	
Q109941823	Крысціна Друцкая-Сакалінская	6000000014191852718;6000000018647674288	0	neither profile is in our corpus	
Q109977740	John Miller	6000000022819555284;6000000059092023959	0	neither profile is in our corpus	
Q110175744	Giddings Hyde Ballou	6000000013385172601;6000000023283868821	0	neither profile is in our corpus	
Q110278372	Peter Perrine	6000000006846518137;6000000084408589833	0	neither profile is in our corpus	
Q110363982	Katarzyna Witoslawska	6000000014652928558;6000000014676980851	0	neither profile is in our corpus	
Q110371265	Graf Vaclav Rozdrazowsky	6000000066006404840;6000000100420197845	0	neither profile is in our corpus	
Q110447372	Тэафіла дэ Раес	6000000040093507383;6000000055666624966	0	neither profile is in our corpus	
Q110495241	Mann Satterwhite Valentine	6000000002799091360;6000000083953532189	0	neither profile is in our corpus	
Q110571377	Dmitriy Shakhovskoy	6000000011643833836;6000000157675674864	0	neither profile is in our corpus	
Q110571387	Natalya Borisovna Svyatopolk-Chetvertinskaya	6000000011643779621;6000000157676379833	0	neither profile is in our corpus	
Q110602797	Odon de La Roche-en-Montagne, Seigneur de Châtillon-sous-Maiche et de Nolay	6000000026337628596;6000000154738725870	0	neither profile is in our corpus	
Q110603152	François de Lasseran-Massencome, Seigneur de Montluc	6000000022601455934;6000000140779851828	0	neither profile is in our corpus	
Q110603156	Françoise de Mondenard, Dame d'Estillac	6000000022601123430;6000000140777316135	0	neither profile is in our corpus	
Q110639478	Philippe Joseph d'Onyn, Seigneur de Wez	6000000023171834866;6000000039266399441	0	neither profile is in our corpus	
Q110663778	John Watson	6000000003939689408;6000000020747078805	0	neither profile is in our corpus	
Q11066492	Zhang Boyu	6000000075425757964;6000000075484210975	0	neither profile is in our corpus	
Q11068362	Zhang Tingtuan	6000000019265583922;6000000075506408836	0	neither profile is in our corpus	
Q110705011	Antoine de Locquenghien, Heer van Melsbroek	6000000018608696246;6000000019188087269	0	neither profile is in our corpus	
Q110705103	Catharina von Mepsche	6000000018608237465;6000000019188087285	0	neither profile is in our corpus	
Q11085005	Fang Guancheng	6000000048486485853;6000000075506921862	0	neither profile is in our corpus	
Q110865012	Martha Collins Russell	6000000000517787202;6000000069051231913	0	neither profile is in our corpus	
Q110952771	Józef Tyszkiewicz	6000000015184301781;6000000214767655828	0	neither profile is in our corpus	
Q110952788	Rozalia Wołłowicz	6000000002659223729;6000000015184329742;6000000214767583829	0	neither profile is in our corpus	
Q11095513	Li Kerui	6000000075425079993;6000000075425892988	0	neither profile is in our corpus	
Q11096095	Li Xuangong	6000000075502940320;6000000173401181849	0	neither profile is in our corpus	
Q11097489	Li Chang	6000000074750492002;6000000074750610019	0	neither profile is in our corpus	
Q11106615	Lin Bingzhang	6000000026592826015;6000000075508798822	0	neither profile is in our corpus	
Q111076164	Lewis Hooper	6000000036690250077;6000000176772417885	0	neither profile is in our corpus	
Q111081629	Ammi Ruhamah Mitchell	6000000011979578654;6000000201325869930	0	neither profile is in our corpus	
Q111133724	Альжбета Ганна з Францкевічаў-Радзімінскіх	6000000014072794057;6000000045908061861	0	neither profile is in our corpus	
Q111133818	Алена Друцкая-Любецкая	6000000016457538870;6000000016457589622	0	neither profile is in our corpus	
Q111154589	Фларыян Друцкі-Сакалінскі	6000000018647864831;6000000018647958385	0	neither profile is in our corpus	
Q111154593	Krzysztof Janusz Drucki-Sokoliński	6000000018647303757;6000000075278201838	0	neither profile is in our corpus	
Q111184137	Michał Wołłowicz	6000000039878092326;6000000053604293148	0	neither profile is in our corpus	
Q111184140	Барыс Міхайлавіч Валовіч	6000000048751163921;6000000212950516832	0	neither profile is in our corpus	
Q11118980	Yang Jian	6000000074738774866;6000000075488643187	0	neither profile is in our corpus	
Q1111968	Ouyang He	6000000074701941923;6000000074733076895	0	neither profile is in our corpus	
Q111205343	Julian Puzyna	6000000018835151310;6000000189949046382	0	neither profile is in our corpus	
Q111205347	Róża Trębicka	6000000018835107459;6000000189949046426	0	neither profile is in our corpus	
Q111205382	Станіслаў Мадэст Пузына	6000000018834772666;6000000189948555190	0	neither profile is in our corpus	
Q111219251	Mikołaj Ostyk	6000000014877328466;6000000222403852832	0	neither profile is in our corpus	
Q111221189	Іван Гулевіч	6000000016457780639;6000000090931105865	0	neither profile is in our corpus	
Q111221530	Piotr Kublicki	6000000016457595892;6000000178194867857	0	neither profile is in our corpus	
Q111349053	Mikołaj Jan Górski	6000000013516401084;6000000116942779840	0	neither profile is in our corpus	
Q111349054	Stefan Aleksander Billewicz	6000000013198769311;6000000217987298829	0	neither profile is in our corpus	
Q111355946	Thomas Savage IV	6000000008231439817;6000000180395220892	0	neither profile is in our corpus	
Q11138566	Yuqing Shen	6000000028409238619;6000000029595022441	0	neither profile is in our corpus	
Q111444128	Claudia Chase	6000000027929507087;6000000038535003316	0	neither profile is in our corpus	
Q111490358	Charles Elliot Warren	6000000101309841910;6000000122413845866	0	neither profile is in our corpus	
Q111546103	George Bronson Farnam	6000000153913577852;6000000156576793662	0	neither profile is in our corpus	
Q111653466	John Postell Williamson	6000000006743042493;6000000019981022122	0	neither profile is in our corpus	
Q111668385	Preston Pope Satterwhite	6000000012720321616;943100	0	neither profile is in our corpus	
Q11171155	Čeněk Daněk	6000000003122527399;6000000033413263174	0	neither profile is in our corpus	
Q111765778	James Monroe Heiskell	6000000006242432428;6000000008452081112	0	neither profile is in our corpus	
Q111771221	Edmund Burke Ball	6000000003615842653;6000000184793492868	0	neither profile is in our corpus	
Q111988790	Jyrgi Liive	6000000008996260577;6000000024414393955	0	neither profile is in our corpus	
Q112000892	Mary Bostwick	6000000002906956415;6000000003941051427	0	neither profile is in our corpus	
Q112084845	Jadwiga Krzywczycka	6000000003811270179;6000000039632590766	0	neither profile is in our corpus	
Q112107277	Дабрагост Нарбутавіч	6000000014948252150;6000000188825891855	0	neither profile is in our corpus	
Q112112034	Walter Edward Weaver	6000000149982168841;6000000158362905898	0	neither profile is in our corpus	
Q112118014	Jan Weyssenhoff	6000000039729873997;6000000190453317342	0	neither profile is in our corpus	
Q112145969	Lydia Putnam	6000000006441151246;6000000026257957799	0	neither profile is in our corpus	
Q112274841	Гетаўт Каленікавіч	6000000037953469457;6000000076959385678	0	neither profile is in our corpus	
Q112286776	Акушка Каленікавіч	6000000041174876447;6000000076958707558	0	neither profile is in our corpus	
Q112606590	boier Iorgi Vacarescu	6000000101364269841;6000000107446905860	0	neither profile is in our corpus	
Q112620338	Matthias Corwin	6000000025083801596;6000000045026513853	0	neither profile is in our corpus	
Q112679022	Francis K. Pan	6000000025458698837;6000000132353558831	0	neither profile is in our corpus	
Q112710949	Marianne Hengelmüller Edle von Hengervár	6000000058181560034;6000000103248129880	0	neither profile is in our corpus	
Q112750561	Dorota Wołłowicz	6000000038237918019;6000000215412262822	0	neither profile is in our corpus	
Q112750759	Helena Szemiot	6000000024304106381;6000000038238123614	0	neither profile is in our corpus	
Q112758898	"Eliza ""Bear Claws"" Gale"	6000000000529184727;6000000180291504822	0	neither profile is in our corpus	
Q112806685	Ann Fuller	6000000046943549967;759828	0	neither profile is in our corpus	
Q112894998	Bogusław Leopold Oskierka	6000000011157319793;6000000211748921822	0	neither profile is in our corpus	
Q112913645	Іван Богушавіч Багавіцін	6000000024829946916;6000000025359247326	0	neither profile is in our corpus	
Q112957538	Mary Hall Terry	6000000000664393642;6000000047671665927	0	neither profile is in our corpus	
Q112958835	Marie Bissell	6000000033644140987;6000000059176740821	0	neither profile is in our corpus	
Q112958951	Jerusha Bissell	6000000002860848843;6000000033644071166	0	neither profile is in our corpus	
Q112963337	Уладзіслаў Белазор	6000000015153300229;6000000121952210875	0	neither profile is in our corpus	
Q112971411	Andreas, Prince Beloselsky	6000000039629797924;6000000190048470853	0	neither profile is in our corpus	
Q113006491	Юрый Аляхновіч	6000000014947153828;6000000096410129831	0	neither profile is in our corpus	
