qid	wikidata_label	geni_id	geni_name	verdict	our_father	our_mother	anchor_father	anchor_mother	decisive	withheld_because	one_is_the_other_parent	decided_by
Q104388625	Abigail Hastings	6000000001837338664		UNKNOWN (not in our tree)			6000000001850960395		no	candidates share a name - may be one person	no	
Q104388625	Abigail Hastings	6000000003940567305	Abigail Marsh	UNKNOWN (no parent recorded)			6000000001850960395		no	candidates share a name - may be one person	no	
Q104434100	Krzysztof Stetkiewicz	6000000015346478921		UNKNOWN (not in our tree)			6000000014192970436	6000000015346287688	no		no	
Q104434100	Krzysztof Stetkiewicz	6000000018647774625		UNKNOWN (not in our tree)			6000000014192970436	6000000015346287688	no		no	
Q104434100	Krzysztof Stetkiewicz	6000000086473062890		UNKNOWN (not in our tree)			6000000014192970436	6000000015346287688	no		no	
Q104444488	John Sherman, Jr.	6000000009006812704		UNKNOWN (not in our tree)			6000000003077229749		no		no	
Q104444488	John Sherman, Jr.	6000000206780488872		UNKNOWN (not in our tree)			6000000003077229749		no		no	
Q104523980	Юзаф Аскерка	6000000130880649836		UNKNOWN (not in our tree)			6000000142414645833	6000000106618773335	no		no	
Q104523980	Юзаф Аскерка	6000000142414361910		UNKNOWN (not in our tree)			6000000142414645833	6000000106618773335	no		no	
Q104523980	Юзаф Аскерка	6000000207402402850		UNKNOWN (not in our tree)			6000000142414645833	6000000106618773335	no		no	
Q104523990	Ганна Агінская	6000000130880012821		UNKNOWN (not in our tree)			6000000003680636468	6000000005393537795	no		no	
Q104523990	Ганна Агінская	6000000207402480823		UNKNOWN (not in our tree)			6000000003680636468	6000000005393537795	no		no	
Q104531054	Maciej Michał Frąckiewicz Radzimiński	6000000038188552163		UNKNOWN (not in our tree)			6000000045901407248	6000000045903192935	no		no	
Q104531054	Maciej Michał Frąckiewicz Radzimiński	6000000038238417086		UNKNOWN (not in our tree)			6000000045901407248	6000000045903192935	no		no	
Q10454303	Dou Dan	6000000048525631295		CONFIRMED	6000000075372508837	6000000087429856840	6000000075372508837		no		no	
Q10454303	Dou Dan	6000000075368353862		UNKNOWN (not in our tree)			6000000075372508837		no		no	
Q104551530	Samuel Gilbert, Jr.	6000000000003274920		UNKNOWN (not in our tree)			6000000003434594713	6000000008439248687	no		no	
Q104551530	Samuel Gilbert, Jr.	6000000001921245849		UNKNOWN (not in our tree)			6000000003434594713	6000000008439248687	no		no	
Q104622710	Karl Anton von Plettenberg-Mehrum	6000000018426320619		UNKNOWN (not in our tree)			6000000033427013941		no		no	
Q104622710	Karl Anton von Plettenberg-Mehrum	6000000024144137256		UNKNOWN (not in our tree)			6000000033427013941		no		no	
Q104666486	Геранім Альбрэхт Друцкі-Сакалінскі	6000000016281078507		UNKNOWN (not in our tree)			6000000007145430719	6000000007145705340	no		no	
Q104666486	Геранім Альбрэхт Друцкі-Сакалінскі	6000000193584586830		UNKNOWN (not in our tree)			6000000007145430719	6000000007145705340	no		no	
Q104667329	Jan Chrapowicki	6000000015345904999		UNKNOWN (not in our tree)			6000000015346315050		no		no	
