char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
搔,U+6414,CJK UNIFIED IDEOGRAPH-6414,CJK,4,NAME:2; GIVN:2,搔 /趙國柏仁/
跱,U+8DF1,CJK UNIFIED IDEOGRAPH-8DF1,CJK,4,NAME:2; GIVN:2,子岳 鳳跱 /趙郡柏仁/
脈,U+8108,CJK UNIFIED IDEOGRAPH-8108,CJK,4,NAME:2; SURN:2,/太宗脈/
𥵣,U+25D63,CJK UNIFIED IDEOGRAPH-25D63,CJK,4,NAME:2; GIVN:2,𥵣 端父 /泉州永春/
矔,U+77D4,CJK UNIFIED IDEOGRAPH-77D4,CJK,4,NAME:2; GIVN:2,矔 /子姓/
謁,U+8B01,CJK UNIFIED IDEOGRAPH-8B01,CJK,4,NAME:2; GIVN:2,謁之 士敬 /河東聞喜/
暅,U+6685,CJK UNIFIED IDEOGRAPH-6685,CJK,4,NAME:2; GIVN:2,暅 /河東聞喜/
构,U+6784,CJK UNIFIED IDEOGRAPH-6784,CJK,4,NAME:2; GIVN:2,承基 子构 /范陽涿縣/
獅,U+7345,CJK UNIFIED IDEOGRAPH-7345,CJK,4,NAME:2; GIVN:1; PLAC:1,金獅 /Qiū 邱/
篇,U+7BC7,CJK UNIFIED IDEOGRAPH-7BC7,CJK,4,NAME:2; GIVN:2,篇 /泰山南城/
蒋,U+848B,CJK UNIFIED IDEOGRAPH-848B,CJK,4,NAME:2; _MARNM:2,Surname Jiǎng /蒋氏/
妠,U+59A0,CJK UNIFIED IDEOGRAPH-59A0,CJK,4,NAME:2; GIVN:2,妠 /安定烏氏/
螺,U+87BA,CJK UNIFIED IDEOGRAPH-87BA,CJK,4,NAME:2; GIVN:2,螺 /韓/
睢,U+7762,CJK UNIFIED IDEOGRAPH-7762,CJK,4,NAME:2; SURN:2,向 /歸德睢陽/
廄,U+5EC4,CJK UNIFIED IDEOGRAPH-5EC4,CJK,4,NAME:2; GIVN:2,駒 廄父 /越州山陰/
繤,U+7E64,CJK UNIFIED IDEOGRAPH-7E64,CJK,4,NAME:2; GIVN:2,繤 /弘農華陰/
羾,U+7FBE,CJK UNIFIED IDEOGRAPH-7FBE,CJK,4,NAME:2; GIVN:2,昇 字羾 /京兆杜陵/
玼,U+73BC,CJK UNIFIED IDEOGRAPH-73BC,CJK,4,NAME:2; GIVN:2,玼 /隴西狄道/
披,U+62AB,CJK UNIFIED IDEOGRAPH-62AB,CJK,4,NAME:2; GIVN:2,荔 山披 /會稽餘姚/
顃,U+9843,CJK UNIFIED IDEOGRAPH-9843,CJK,4,NAME:2; GIVN:2,顃 /京兆杜陵/
虢,U+8662,CJK UNIFIED IDEOGRAPH-8662,CJK,4,NAME:2; SURN:2,玄珪 /虢州弘農/
濁,U+6FC1,CJK UNIFIED IDEOGRAPH-6FC1,CJK,4,NAME:2; GIVN:2,渾 若濁 /博陵安平/
暟,U+669F,CJK UNIFIED IDEOGRAPH-669F,CJK,4,NAME:2; GIVN:2,暟 /博陵安平/
緫,U+7DEB,CJK UNIFIED IDEOGRAPH-7DEB,CJK,4,NAME:2; GIVN:2,緫 /清河武城/
笏,U+7B0F,CJK UNIFIED IDEOGRAPH-7B0F,CJK,4,NAME:2; GIVN:2,珽 子笏 /范陽涿縣/
陘,U+9658,CJK UNIFIED IDEOGRAPH-9658,CJK,4,NAME:2; SURN:2,伯謙 /恆州井陘/
閱,U+95B1,CJK UNIFIED IDEOGRAPH-95B1,CJK,4,NAME:2; GIVN:2,洛賓 閱書 /南蘭陵/
俾,U+4FFE,CJK UNIFIED IDEOGRAPH-4FFE,CJK,4,NICK:2; NAME:2,字:俾
租,U+79DF,CJK UNIFIED IDEOGRAPH-79DF,CJK,4,NICK:2; NAME:2,字:承租
樛,U+6A1B,CJK UNIFIED IDEOGRAPH-6A1B,CJK,4,NAME:2; GIVN:2,樛 /南蘭陵/
響,U+97FF,CJK UNIFIED IDEOGRAPH-97FF,CJK,4,NAME:2; GIVN:2,子響 雲音 /南蘭陵/
恁,U+6041,CJK UNIFIED IDEOGRAPH-6041,CJK,4,NAME:2; GIVN:2,恁 /濟陽考城/
谅,U+8C05,CJK UNIFIED IDEOGRAPH-8C05,CJK,4,NICK:2; NAME:1; GIVN:1,黄源谅
旸,U+65F8,CJK UNIFIED IDEOGRAPH-65F8,CJK,4,NAME:3; GIVN:1,"KHOO Shì Yáng, 邱仕旸, 五/仕旸/东滨,134,122,69,65,30,9世"
点,U+70B9,CJK UNIFIED IDEOGRAPH-70B9,CJK,4,NAME:3; GIVN:1,"KHOO Jùn Diǎn, 邱埈点, ?/埈点/埈杏,141,129,76,72,37,16世"
綦,U+7DA6,CJK UNIFIED IDEOGRAPH-7DA6,CJK,4,NAME:2; GIVN:2,義綦 /彭城/
翌,U+7FCC,CJK UNIFIED IDEOGRAPH-7FCC,CJK,4,NAME:2; GIVN:2,翌之 /廬江灊縣/
贴,U+8D34,CJK UNIFIED IDEOGRAPH-8D34,CJK,4,OCCU:4,其名据百度贴吧所引用老谱，待考证
吧,U+5427,CJK UNIFIED IDEOGRAPH-5427,CJK,4,OCCU:4,其名据百度贴吧所引用老谱，待考证
证,U+8BC1,CJK UNIFIED IDEOGRAPH-8BC1,CJK,4,OCCU:4,其名据百度贴吧所引用老谱，待考证
鸚,U+9E1A,CJK UNIFIED IDEOGRAPH-9E1A,CJK,4,NAME:2; GIVN:2,鸚鵡 /王/
鵡,U+9D61,CJK UNIFIED IDEOGRAPH-9D61,CJK,4,NAME:2; GIVN:2,鸚鵡 /王/
婼,U+5A7C,CJK UNIFIED IDEOGRAPH-5A7C,CJK,4,NAME:2; GIVN:2,婼 /琅邪臨沂/
耘,U+8018,CJK UNIFIED IDEOGRAPH-8018,CJK,4,NAME:2; GIVN:2,耕耘 /Chén 陳/
桀,U+6840,CJK UNIFIED IDEOGRAPH-6840,CJK,4,NAME:2; GIVN:2,向桀 /Chén 陳/
惨,U+60E8,CJK UNIFIED IDEOGRAPH-60E8,CJK,4,NAME:2; GIVN:2,基惨 /Chén 陳/
焸,U+7138,CJK UNIFIED IDEOGRAPH-7138,CJK,4,NAME:2; GIVN:2,宏焸 /曾/
樗,U+6A17,CJK UNIFIED IDEOGRAPH-6A17,CJK,4,NAME:2; GIVN:2,興樗 白廬 /曾/
雩,U+96E9,CJK UNIFIED IDEOGRAPH-96E9,CJK,4,NAME:2; GIVN:2,衍詠 雩臺 /曾/
鑣,U+9463,CJK UNIFIED IDEOGRAPH-9463,CJK,4,NAME:2; GIVN:2,紀鑣 汝霖 志一 /曾/
絟,U+7D5F,CJK UNIFIED IDEOGRAPH-7D5F,CJK,4,NAME:2; GIVN:2,絟 /曾/
墫,U+58AB,CJK UNIFIED IDEOGRAPH-58AB,CJK,4,NAME:2; GIVN:2,毓墫 注瀛 /曾/
匯,U+532F,CJK UNIFIED IDEOGRAPH-532F,CJK,4,NAME:2; GIVN:2,尚溶 匯伯 /曾/
祏,U+794F,CJK UNIFIED IDEOGRAPH-794F,CJK,4,NAME:2; GIVN:2,憲祏 奉遠 /曾/
麐,U+9E90,CJK UNIFIED IDEOGRAPH-9E90,CJK,4,NAME:2; GIVN:2,貞豫 麐埜 /曾/
羯,U+7FAF,CJK UNIFIED IDEOGRAPH-7FAF,CJK,4,NAME:2; GIVN:2,羯 /姬姓/
彘,U+5F58,CJK UNIFIED IDEOGRAPH-5F58,CJK,4,NAME:2; GIVN:2,彘 /姬姓/
玃,U+7383,CJK UNIFIED IDEOGRAPH-7383,CJK,4,NAME:2; GIVN:2,玃 /姬姓/
睪,U+776A,CJK UNIFIED IDEOGRAPH-776A,CJK,4,NAME:2; GIVN:2,睪 /孟/
嘗,U+5617,CJK UNIFIED IDEOGRAPH-5617,CJK,4,NAME:2; GIVN:2,嘗 伯周 /會稽上虞/
戫,U+622B,CJK UNIFIED IDEOGRAPH-622B,CJK,4,NAME:2; GIVN:2,戫 /河南洛陽/
罡,U+7F61,CJK UNIFIED IDEOGRAPH-7F61,CJK,4,NAME:2; GIVN:2,糹罡 仁宗 /滎陽開封/
霑,U+9711,CJK UNIFIED IDEOGRAPH-9711,CJK,4,NAME:2; GIVN:2,和霑 /河東汾陰/
伕,U+4F15,CJK UNIFIED IDEOGRAPH-4F15,CJK,4,NAME:2; GIVN:2,伕人 (Fū Rén)
亍,U+4E8D,CJK UNIFIED IDEOGRAPH-4E8D,CJK,4,NAME:2; GIVN:2,亍寵 (Chù Chǒng)
茙,U+8319,CJK UNIFIED IDEOGRAPH-8319,CJK,4,NAME:2; GIVN:2,茙 /河東聞喜/
𠎸,U+203B8,CJK UNIFIED IDEOGRAPH-203B8,CJK,4,NAME:2; GIVN:2,延𠎸 (Yán Sè) /譚/
鰲,U+9C32,CJK UNIFIED IDEOGRAPH-9C32,CJK,4,NAME:2; GIVN:2,裔鰲 (Yì áo) /譚/
罩,U+7F69,CJK UNIFIED IDEOGRAPH-7F69,CJK,4,NAME:2; GIVN:2,罩舜 (Zhào Shùn) /譚/
冗,U+5197,CJK UNIFIED IDEOGRAPH-5197,CJK,4,NAME:2; GIVN:2,裔冗 (Yì Rǒng) /譚/
䨲,U+4A32,CJK UNIFIED IDEOGRAPH-4A32,CJK,4,NAME:2; GIVN:2,䨲 花妝 /隴西狄道/
妝,U+599D,CJK UNIFIED IDEOGRAPH-599D,CJK,4,NAME:2; GIVN:2,䨲 花妝 /隴西狄道/
银,U+94F6,CJK UNIFIED IDEOGRAPH-94F6,CJK,4,NAME:2; GIVN:2,银伏 (Yín Fú) /陳/
羆,U+7F86,CJK UNIFIED IDEOGRAPH-7F86,CJK,4,NAME:2; GIVN:2,羆 /樂浪/
既,U+65E2,CJK UNIFIED IDEOGRAPH-65E2,CJK,4,NAME:2; GIVN:2,涉 既濟 /李/
楛,U+695B,CJK UNIFIED IDEOGRAPH-695B,CJK,4,NAME:2; GIVN:2,毓楛 /彭/
佁,U+4F41,CJK UNIFIED IDEOGRAPH-4F41,CJK,4,NICK:2; NAME:1; GIVN:1,李佁翁 (Yǐ Wēng)
淩,U+6DE9,CJK UNIFIED IDEOGRAPH-6DE9,CJK,4,NAME:2; GIVN:2,淩江 (Líng Jiāng) /李/
棕,U+68D5,CJK UNIFIED IDEOGRAPH-68D5,CJK,4,NAME:2; GIVN:2,棕翁 (Zōng) /李/
佝,U+4F5D,CJK UNIFIED IDEOGRAPH-4F5D,CJK,4,NICK:2; NAME:1; GIVN:1,李佝翁 (Gōu Wēng)
尫,U+5C2B,CJK UNIFIED IDEOGRAPH-5C2B,CJK,4,NAME:2; GIVN:2,婉順 尫娘 /隴西狄道/
嬐,U+5B10,CJK UNIFIED IDEOGRAPH-5B10,CJK,4,NAME:2; GIVN:2,淑嬐 㛺奴 /渤海蓨縣/
㛺,U+36FA,CJK UNIFIED IDEOGRAPH-36FA,CJK,4,NAME:2; GIVN:2,淑嬐 㛺奴 /渤海蓨縣/
黰,U+9EF0,CJK UNIFIED IDEOGRAPH-9EF0,CJK,4,NAME:2; GIVN:2,黰 /弘農華陰/
欎,U+6B0E,CJK UNIFIED IDEOGRAPH-6B0E,CJK,4,NAME:2; GIVN:2,欎 伏生 /河南洛陽/
杆,U+6746,CJK UNIFIED IDEOGRAPH-6746,CJK,4,NAME:2; GIVN:2,杆 /隴西狄道/
鏐,U+93D0,CJK UNIFIED IDEOGRAPH-93D0,CJK,4,NAME:2; GIVN:2,鏐 剛美 /太原/
鍴,U+9374,CJK UNIFIED IDEOGRAPH-9374,CJK,4,NAME:2; GIVN:2,鍴 /太原/
拨,U+62E8,CJK UNIFIED IDEOGRAPH-62E8,CJK,4,NAME:2; GIVN:2,運 烏戈拨 /河南洛陽/
隙,U+9699,CJK UNIFIED IDEOGRAPH-9699,CJK,4,NAME:2; GIVN:2,開隙 (Kāi Xì) /譚/
璦,U+74A6,CJK UNIFIED IDEOGRAPH-74A6,CJK,4,NAME:2; GIVN:2,璦 /蘭陵/
餝,U+991D,CJK UNIFIED IDEOGRAPH-991D,CJK,4,NAME:2; GIVN:2,餝性 脩容 /南蘭陵/
ᡔ,U+1854,MONGOLIAN LETTER TODO TSA,MONGOLIAN,4,NAME:2; SURN:2,錫克 /ᡔᡆᠷᡆᠰ/
儻,U+513B,CJK UNIFIED IDEOGRAPH-513B,CJK,4,NAME:2; GIVN:2,良儻 /范/
鎖,U+9396,CJK UNIFIED IDEOGRAPH-9396,CJK,4,NAME:2; GIVN:2,瓦答失里 哈力鎖魯檀 /孛兒只斤/
嚕,U+5695,CJK UNIFIED IDEOGRAPH-5695,CJK,4,NAME:2; GIVN:2,嚕圖 /博爾濟吉特/
缺,U+7F3A,CJK UNIFIED IDEOGRAPH-7F3A,CJK,4,NAME:2; GIVN:2,缺 /趙/
怙,U+6019,CJK UNIFIED IDEOGRAPH-6019,CJK,4,NAME:2; GIVN:2,怙 /范陽/
薳,U+85B3,CJK UNIFIED IDEOGRAPH-85B3,CJK,4,NAME:2; GIVN:2,薳 /范陽/
虑,U+8651,CJK UNIFIED IDEOGRAPH-8651,CJK,4,NAME:2; GIVN:2,无虑 義常 /河南洛陽/
眕,U+7715,CJK UNIFIED IDEOGRAPH-7715,CJK,4,NAME:2; GIVN:2,眕 /卞/
壸,U+58F8,CJK UNIFIED IDEOGRAPH-58F8,CJK,4,NAME:2; GIVN:2,壸 望之 /卞/
嵚,U+5D5A,CJK UNIFIED IDEOGRAPH-5D5A,CJK,4,NAME:2; GIVN:2,嵚 /王/
朂,U+6702,CJK UNIFIED IDEOGRAPH-6702,CJK,4,NAME:2; GIVN:2,朂 /王/
妄,U+5984,CJK UNIFIED IDEOGRAPH-5984,CJK,4,NAME:2; GIVN:2,無妄 /Zhāng 張/
頨,U+9828,CJK UNIFIED IDEOGRAPH-9828,CJK,4,NAME:2; GIVN:2,彥頨 士瞻 湛然 /張/
矯,U+77EF,CJK UNIFIED IDEOGRAPH-77EF,CJK,4,NAME:2; GIVN:2,矯 /東海蘭陵/
颎,U+988E,CJK UNIFIED IDEOGRAPH-988E,CJK,4,NAME:2; GIVN:2,颎 三明 /鄭/
唤,U+5524,CJK UNIFIED IDEOGRAPH-5524,CJK,4,NAME:2; GIVN:2,唤 /姬/
蕹,U+8579,CJK UNIFIED IDEOGRAPH-8579,CJK,4,NAME:2; GIVN:2,蕹 /姬/
萋,U+840B,CJK UNIFIED IDEOGRAPH-840B,CJK,4,NAME:2; GIVN:2,萋 /姬/
瞀,U+7780,CJK UNIFIED IDEOGRAPH-7780,CJK,4,NAME:2; GIVN:2,瞀 /鄭/
韩,U+97E9,CJK UNIFIED IDEOGRAPH-97E9,CJK,4,NAME:4,韩宣惠王 韩威侯 康
鬬,U+9B2C,CJK UNIFIED IDEOGRAPH-9B2C,CJK,4,_MARNM:4,鬬
咢,U+54A2,CJK UNIFIED IDEOGRAPH-54A2,CJK,4,NAME:2; GIVN:2,咢 /芈姓/
弒,U+5F12,CJK UNIFIED IDEOGRAPH-5F12,CJK,4,NAME:2; GIVN:2,佚名 為楚武王所弒
猎,U+730E,CJK UNIFIED IDEOGRAPH-730E,CJK,4,NAME:2; GIVN:2,敖 孫叔 艾猎 /芈姓/
挚,U+631A,CJK UNIFIED IDEOGRAPH-631A,CJK,4,NAME:2; GIVN:2,挚 /姬姓/
碏,U+788F,CJK UNIFIED IDEOGRAPH-788F,CJK,4,NAME:2; GIVN:2,碏 /姬姓/
遨,U+9068,CJK UNIFIED IDEOGRAPH-9068,CJK,4,NAME:2; GIVN:2,遨 種 /子姓/
慙,U+6159,CJK UNIFIED IDEOGRAPH-6159,CJK,4,NAME:2; GIVN:2,慙 /石/
肺,U+80BA,CJK UNIFIED IDEOGRAPH-80BA,CJK,4,NAME:2; GIVN:2,肺泥 /劉/
䒩,U+44A9,CJK UNIFIED IDEOGRAPH-44A9,CJK,4,NAME:2; GIVN:2,䒩 季黃 /趙州平棘/
憚,U+619A,CJK UNIFIED IDEOGRAPH-619A,CJK,4,NAME:2; GIVN:2,憚 /清河/
盆,U+76C6,CJK UNIFIED IDEOGRAPH-76C6,CJK,4,NAME:2; GIVN:2,盖盆 /梁/
悉,U+6089,CJK UNIFIED IDEOGRAPH-6089,CJK,4,NAME:2; GIVN:2,陵 可悉陵 /拓跋/
騧,U+9A27,CJK UNIFIED IDEOGRAPH-9A27,CJK,4,NAME:2; GIVN:2,季騧 /滎陽開封/
哆,U+54C6,CJK UNIFIED IDEOGRAPH-54C6,CJK,4,NAME:2; GIVN:2,哆 /李/
珫,U+73EB,CJK UNIFIED IDEOGRAPH-73EB,CJK,4,NAME:2; GIVN:2,珫 /韓/
箾,U+7BBE,CJK UNIFIED IDEOGRAPH-7BBE,CJK,4,NAME:2; GIVN:2,竺 箾 /眉州眉山/
笈,U+7B08,CJK UNIFIED IDEOGRAPH-7B08,CJK,4,NAME:2; GIVN:2,笈 /眉州眉山/
筌,U+7B4C,CJK UNIFIED IDEOGRAPH-7B4C,CJK,4,NAME:2; GIVN:2,筌 /蘇/
簟,U+7C1F,CJK UNIFIED IDEOGRAPH-7C1F,CJK,4,NAME:2; GIVN:2,簟 /眉州眉山/
篴,U+7BF4,CJK UNIFIED IDEOGRAPH-7BF4,CJK,4,NAME:2; GIVN:2,篴 /眉州眉山/
柘,U+67D8,CJK UNIFIED IDEOGRAPH-67D8,CJK,4,NAME:2; GIVN:2,柘 /蘇/
潩,U+6F69,CJK UNIFIED IDEOGRAPH-6F69,CJK,4,NAME:2; GIVN:2,潩 /范/
萌,U+840C,CJK UNIFIED IDEOGRAPH-840C,CJK,4,NAME:2; GIVN:2,萌 節 元偉 /沛國譙縣/
茜,U+831C,CJK UNIFIED IDEOGRAPH-831C,CJK,4,NAME:2; GIVN:2,茜之 /李/
玙,U+7399,CJK UNIFIED IDEOGRAPH-7399,CJK,4,NAME:2; GIVN:2,玙 /李/
儦,U+5126,CJK UNIFIED IDEOGRAPH-5126,CJK,4,NAME:2; GIVN:2,儦 岐叔 /崔/
駭,U+99ED,CJK UNIFIED IDEOGRAPH-99ED,CJK,4,NAME:2; GIVN:2,無駭 /姬姓/
郏,U+90CF,CJK UNIFIED IDEOGRAPH-90CF,CJK,4,NAME:2; GIVN:2,郏? /秦州清水/
簿,U+7C3F,CJK UNIFIED IDEOGRAPH-7C3F,CJK,4,NAME:2; GIVN:2,簿? /秦州清水/
析,U+6790,CJK UNIFIED IDEOGRAPH-6790,CJK,4,NAME:2; GIVN:2,析 文伯 /子家/
羈,U+7F88,CJK UNIFIED IDEOGRAPH-7F88,CJK,4,NAME:2; GIVN:2,羈 懿伯 /子家/
歧,U+6B67,CJK UNIFIED IDEOGRAPH-6B67,CJK,4,NAME:2; GIVN:2,歧 /唐/
桎,U+684E,CJK UNIFIED IDEOGRAPH-684E,CJK,4,NAME:2; GIVN:2,桎 /唐/
焉,U+7109,CJK UNIFIED IDEOGRAPH-7109,CJK,4,NAME:2; GIVN:2,焉 /譙國龍亢/
殺,U+6BBA,CJK UNIFIED IDEOGRAPH-6BBA,CJK,4,NAME:2; GIVN:2,威 殺鬼 /北海期原/
,U+E000,(unnamed),unnamed,4,NAME:2; GIVN:2,奴 道岷 /王/
岷,U+5CB7,CJK UNIFIED IDEOGRAPH-5CB7,CJK,4,NAME:2; GIVN:2,奴 道岷 /王/
昵,U+6635,CJK UNIFIED IDEOGRAPH-6635,CJK,4,NAME:2; GIVN:2,遜昵延 /宇文/
徙,U+5F99,CJK UNIFIED IDEOGRAPH-5F99,CJK,4,NAME:2; SURN:2,/昌黎徙河/
傉,U+5089,CJK UNIFIED IDEOGRAPH-5089,CJK,4,NAME:2; GIVN:2,傉檀 /西平樂都/
豎,U+8C4E,CJK UNIFIED IDEOGRAPH-8C4E,CJK,4,NAME:2; GIVN:2,豎 /高/
傒,U+5092,CJK UNIFIED IDEOGRAPH-5092,CJK,4,NAME:2; GIVN:2,傒 敬仲 /姜姓/
馛,U+999B,CJK UNIFIED IDEOGRAPH-999B,CJK,4,NAME:2; GIVN:2,馛 /石/
叉,U+53C9,CJK UNIFIED IDEOGRAPH-53C9,CJK,4,NAME:2; GIVN:2,乂 叉 伯隽 /河南洛陽/
巶,U+5DF6,CJK UNIFIED IDEOGRAPH-5DF6,CJK,4,NAME:2; GIVN:2,巶 子開 /河南洛陽/
睺,U+777A,CJK UNIFIED IDEOGRAPH-777A,CJK,4,NAME:2; GIVN:2,紹宗? 罗睺罗 /河南洛陽/
ニ,U+30CB,KATAKANA LETTER NI,KATAKANA,4,NAME:2; GIVN:2,エフロシニヤ・ヤロスラヴナ ノヴゴロド王女-セヴェルスカヤ
萨,U+8428,CJK UNIFIED IDEOGRAPH-8428,CJK,4,NAME:2; GIVN:2,菩萨 /河南洛陽/
醮,U+91AE,CJK UNIFIED IDEOGRAPH-91AE,CJK,4,NAME:2; GIVN:2,捷醮 (Jié Jiào) /譚/
磊,U+78CA,CJK UNIFIED IDEOGRAPH-78CA,CJK,4,NAME:2; GIVN:2,裔磊 (Yì Lěi) /譚/
滚,U+6EDA,CJK UNIFIED IDEOGRAPH-6EDA,CJK,4,NAME:2; GIVN:2,文滚 (Wén Gǔn) /譚/
悆,U+6086,CJK UNIFIED IDEOGRAPH-6086,CJK,4,NAME:2; GIVN:2,悆 永吉 /兖州定陶/
菓,U+83D3,CJK UNIFIED IDEOGRAPH-83D3,CJK,4,NAME:2; GIVN:2,肇菓 /邱/
听,U+542C,CJK UNIFIED IDEOGRAPH-542C,CJK,4,NAME:2; GIVN:2,完听 /邱/
绪,U+7EEA,CJK UNIFIED IDEOGRAPH-7EEA,CJK,4,NAME:2; GIVN:2,世绪 /邱/
魅,U+9B45,CJK UNIFIED IDEOGRAPH-9B45,CJK,4,NAME:2; GIVN:2,钟魅 /KHOO 邱/
旙,U+65D9,CJK UNIFIED IDEOGRAPH-65D9,CJK,4,NAME:2; GIVN:2,"应旙 /, 134, 122, 69, 65, 30, 9世/"
样,U+6837,CJK UNIFIED IDEOGRAPH-6837,CJK,4,NAME:2; GIVN:2,"应样 /,134, 122, 69, 65, 30, 9世/"
窥,U+7AA5,CJK UNIFIED IDEOGRAPH-7AA5,CJK,4,NAME:2; GIVN:2,窥园 /邱/
倡,U+5021,CJK UNIFIED IDEOGRAPH-5021,CJK,4,NAME:2; GIVN:2,华倡 /邱/
楼,U+697C,CJK UNIFIED IDEOGRAPH-697C,CJK,4,NAME:2; GIVN:2,登楼 /邱/
菜,U+83DC,CJK UNIFIED IDEOGRAPH-83DC,CJK,4,NAME:2; GIVN:2,菜光 /邱/
峤,U+5CE4,CJK UNIFIED IDEOGRAPH-5CE4,CJK,4,NAME:2; GIVN:2,登峤 /邱/
銖,U+9296,CJK UNIFIED IDEOGRAPH-9296,CJK,4,NAME:2; GIVN:2,弘銖 /曾/
倘,U+5018,CJK UNIFIED IDEOGRAPH-5018,CJK,4,NAME:2; GIVN:2,"弈倘,134,122,69,65,30世 /曾/"
灬,U+706C,CJK UNIFIED IDEOGRAPH-706C,CJK,4,NAME:2; GIVN:2,"(毛灬),136,124,71,67,32世 /曾/"
營,U+71DF,CJK UNIFIED IDEOGRAPH-71DF,CJK,4,NAME:2; GIVN:2,"士營,139,127,74,70,35世 /曾/"
愐,U+6110,CJK UNIFIED IDEOGRAPH-6110,CJK,4,NAME:2; GIVN:2,愐 /曾/
忨,U+5FE8,CJK UNIFIED IDEOGRAPH-5FE8,CJK,4,NAME:2; GIVN:2,忨 /曾/
註,U+8A3B,CJK UNIFIED IDEOGRAPH-8A3B,CJK,4,NAME:2; GIVN:2,註 /曾/
傎,U+508E,CJK UNIFIED IDEOGRAPH-508E,CJK,4,NAME:2; GIVN:2,傎 /曾/
誴,U+8AB4,CJK UNIFIED IDEOGRAPH-8AB4,CJK,4,NAME:2; GIVN:2,誴 /曾/
愫,U+612B,CJK UNIFIED IDEOGRAPH-612B,CJK,4,NAME:2; GIVN:2,愫 /曾/
恍,U+604D,CJK UNIFIED IDEOGRAPH-604D,CJK,4,NAME:2; GIVN:2,恍 /曾/
愃,U+6103,CJK UNIFIED IDEOGRAPH-6103,CJK,4,NAME:2; GIVN:2,愃 /曾/
懭,U+61ED,CJK UNIFIED IDEOGRAPH-61ED,CJK,4,NAME:2; GIVN:2,懭 /曾/
裹,U+88F9,CJK UNIFIED IDEOGRAPH-88F9,CJK,4,NAME:2; GIVN:2,裹 /曾/
聓,U+8053,CJK UNIFIED IDEOGRAPH-8053,CJK,4,NAME:2; GIVN:2,聓 /曾/
悕,U+6095,CJK UNIFIED IDEOGRAPH-6095,CJK,4,NAME:2; GIVN:2,悕 /曾/
忓,U+5FD3,CJK UNIFIED IDEOGRAPH-5FD3,CJK,4,NAME:2; GIVN:2,忓 /曾/
憛,U+619B,CJK UNIFIED IDEOGRAPH-619B,CJK,4,NAME:2; GIVN:2,憛 /曾/
厷,U+53B7,CJK UNIFIED IDEOGRAPH-53B7,CJK,4,NAME:2; GIVN:2,(忄厷) /曾/
础,U+7840,CJK UNIFIED IDEOGRAPH-7840,CJK,4,NAME:2; GIVN:2,"Zuòchǔ 祚础 /广东省江门市台山市都斛镇南村村东华里/ 131,125,21,16G"
撜,U+649C,CJK UNIFIED IDEOGRAPH-649C,CJK,4,NAME:2; GIVN:2,撜 /曾/
欌,U+6B0C,CJK UNIFIED IDEOGRAPH-6B0C,CJK,4,NAME:2; GIVN:2,欌? /曾/
訟,U+8A1F,CJK UNIFIED IDEOGRAPH-8A1F,CJK,4,NAME:2; GIVN:2,訟 /曾/
耟,U+801F,CJK UNIFIED IDEOGRAPH-801F,CJK,4,NAME:2; GIVN:2,耟 /曾/
揀,U+63C0,CJK UNIFIED IDEOGRAPH-63C0,CJK,4,NAME:2; GIVN:2,揀 /曾/
讀,U+8B80,CJK UNIFIED IDEOGRAPH-8B80,CJK,4,NAME:2; GIVN:2,讀 /曾/
恜,U+605C,CJK UNIFIED IDEOGRAPH-605C,CJK,4,NAME:2; GIVN:2,恜 /曾/
忼,U+5FFC,CJK UNIFIED IDEOGRAPH-5FFC,CJK,4,NAME:2; GIVN:2,忼 /曾/
丐,U+4E10,CJK UNIFIED IDEOGRAPH-4E10,CJK,4,NAME:2; GIVN:2,(宀丐) /曾/
宲,U+5BB2,CJK UNIFIED IDEOGRAPH-5BB2,CJK,4,NAME:2; GIVN:2,宲 /曾/
誁,U+8A81,CJK UNIFIED IDEOGRAPH-8A81,CJK,4,NAME:2; GIVN:2,誁 /曾/
懃,U+61C3,CJK UNIFIED IDEOGRAPH-61C3,CJK,4,NAME:2; GIVN:2,懃 /曾/
詎,U+8A4E,CJK UNIFIED IDEOGRAPH-8A4E,CJK,4,NAME:2; GIVN:2,詎 /曾/
宭,U+5BAD,CJK UNIFIED IDEOGRAPH-5BAD,CJK,4,NAME:2; GIVN:2,宭 /曾/
駫,U+99EB,CJK UNIFIED IDEOGRAPH-99EB,CJK,4,NAME:2; GIVN:2,駫 /曾/
您,U+60A8,CJK UNIFIED IDEOGRAPH-60A8,CJK,4,NAME:2; GIVN:2,您 /曾/
棊,U+68CA,CJK UNIFIED IDEOGRAPH-68CA,CJK,4,NAME:2; GIVN:2,棊 /曾/
鉿,U+927F,CJK UNIFIED IDEOGRAPH-927F,CJK,4,NAME:2; GIVN:2,鉿 /曾/
繅,U+7E45,CJK UNIFIED IDEOGRAPH-7E45,CJK,4,NAME:2; GIVN:2,繅 /曾/
縤,U+7E24,CJK UNIFIED IDEOGRAPH-7E24,CJK,4,NAME:2; GIVN:2,縤 /曾/
綎,U+7D8E,CJK UNIFIED IDEOGRAPH-7D8E,CJK,4,NAME:2; GIVN:2,綎? /曾/
紼,U+7D3C,CJK UNIFIED IDEOGRAPH-7D3C,CJK,4,NAME:2; GIVN:2,紼 /曾/
