path,files,bytes,workflow_refs,pipeline_code_refs,test_refs,doc_refs,example_refs
paths_for_wikidata_isolates/Geni - August Tuhka (Tuhkanen) (1895-1973)- Helsinki_files/,55,4132941,0,0,0,0,
paths_for_wikidata_isolates/Geni - Aurora Aksnes_files/,58,4131213,0,0,0,0,
paths_for_wikidata_isolates/Geni - Axel Anders Theodor Hägerström (1868-1939)_files/,58,4121646,0,0,0,0,
paths_for_wikidata_isolates/Geni - Axel Nicolai Herlofson (1916-2004)- Stockholm_files/,53,4181922,0,0,0,0,
paths_for_wikidata_isolates/Geni - Axel Rosenkrantz de Lassen Lund (1893-1978)- Stavanger_files/,51,4103722,0,0,0,0,
paths_for_wikidata_isolates/Geni - Babill Asbjørg Johanne Stray-Pedersen (Valen-Sendstad) (1943-2019)- Oslo_files/,52,4192342,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bahá'u'lláh Mírzá Ḥusayn-`Alí Nuri (1817-1892)- Acre_files/,67,4235395,0,0,0,0,
paths_for_wikidata_isolates/Geni - Baldassarre Cossa (c.1365-1419)- Florence_files/,54,4113021,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bartolomeo Prignano (c.1318-1389)- Roma_files/,53,4119663,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bendix Christian de Fine (1696-1746)- Stavanger_files/,51,4104405,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Benedetto Caetani, pope Boniface VIII (c.1230-1303)- Rome_files/",56,4126333,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bengt Henry Gabriel Arne Broms (1929-2023)- Helsinki_files/,58,4117814,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bengt Ingemar Samuelsson (1934-2024)- Stockholm_files/,57,4125610,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bengt Robert Holmström_files/,62,4151691,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bengt Sundkler (1909-1995)- Uppsala_files/,49,4099123,0,0,0,0,
paths_for_wikidata_isolates/Geni - Benjamin Karl Henrik Höijer (1767-1812)- Uppsala_files/,53,4112950,0,0,0,0,
paths_for_wikidata_isolates/Geni - Benno Erdmann (1851-1921)- Berlin_files/,51,4186198,0,0,0,0,
paths_for_wikidata_isolates/Geni - Berit Ås (Skarpaas) (1928-2024)_files/,51,4098333,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bernard Mordecai Abraham (1918-1999)_files/,52,4099447,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bernhard Maria Schmitz (1819-1881)_files/,50,4102289,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bert Rickard Johannes Bolin (1925-2007)_files/,53,4109884,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bertram Charles Middelthon (1879-1961)_files/,55,4192283,0,0,0,0,
paths_for_wikidata_isolates/Geni - Betrand de Goth (1264-1314)- Roquemaure_files/,52,4107691,0,0,0,0,
paths_for_wikidata_isolates/Geni - Birger Pedersen (1874-1954)- Stavanger_files/,53,4190363,0,0,0,0,
paths_for_wikidata_isolates/Geni - Birgit Vennesland (1913-2001)_files/,50,4103787,0,0,0,0,
paths_for_wikidata_isolates/Geni - Biskop Jesper Rasmussen Brochmann (1585-1652)- København_files/,56,4116229,0,0,0,0,
paths_for_wikidata_isolates/Geni - Biskop Tord Godal (1909-2002)- Trondheim_files/,64,4168633,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjarne Kristensen (1897-d.)_files/,54,4190511,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjarne Restan (1898-1969)_files/,56,4225319,0,0,0,0,
paths_for_wikidata_isolates/Geni - Björn Olof Roos (1937-2010)- Lund_files/,50,4102340,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjørn Bue (1934-1997)- Stavanger_files/,56,4130351,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjørn Føyn (1898-1985)_files/,53,4189075,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjørn Hervik Nilsen (1937-1966)- Stavanger_files/,55,4187916,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjørn Myhre (1938-c.2016)- Stavanger_files/,51,4185274,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bjørn Trumpy (1900-d.)_files/,57,4197914,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Borgmester og Statsråd i Oslo (Kristiania) Christian Frederik Zetlitz, Le Normand De Bretteville (1800-1871)_files/",62,4205751,0,0,0,0,
paths_for_wikidata_isolates/Geni - Botaniker Per Axel Rydberg (1860-1931)- New York City_files/,52,4103447,0,0,0,0,
paths_for_wikidata_isolates/Geni - Boyine Wilhelmine Martens (1842-d.)_files/,52,4105577,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bror_ Hjalmar Marklund (1907-1977)_files/,51,4107387,0,0,0,0,
paths_for_wikidata_isolates/Geni - Brostrup Marius Müller (1910-1991)_files/,49,4101851,0,0,0,0,
paths_for_wikidata_isolates/Geni - Bruno von Kärnthen (972-999)- Rome_files/,66,4230771,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Bruno, Pope Leo IX (1002-1054)- Rome_files/",64,4214324,0,0,0,0,
