geni_id,label,description,pair_count,is_collision
6000000007209697224,NN,born circa 1575,3,yes
6000000007248371714,Álvaro Afonso Brandão,born circa 1450,2,yes
6000000007305736740,Malin Nilsdotter,1712 Drängsmark - 1790 Norrlångträsk,2,yes
6000000007319030159,Guttormsdatter,"born Honnemyr, Vennesla",2,yes
6000000007319584235,Guttormsdatter,"born Honnemyr, Vennesla",2,yes
6000000007372120504,Elisabeth von Tiesenhausen,born circa 1580,2,yes
6000000007406763267,Anders Andersson,1 May 1736 Norsjö 4 - 1831 Norsjö 4,2,yes
6000000007507018623,Maria Lovisa Ahlbom,born 2 Jun 1738,2,yes
6000000007511906280,Per Nilsson,born circa 1510,2,yes
6000000007584593812,NN,born circa 1390,3,yes
6000000007589145145,Clemet Olofsson,born circa 1450,2,yes
6000000007636276018,NN,"born Vik i Sogn, Nwy",2,yes
6000000007693065072,José Joaquín Torres,born circa 1760,2,yes
6000000007804637694,Julius Figdor,1809 - 4 Dec 1865,2,yes
6000000007892529913,Margareta Johansdotter,born 1784,2,yes
6000000007980739838,NN,born circa 1430,3,yes
6000000007980970961,NN,born circa 1480,2,yes
6000000007984354501,Brita,died circa 1660,2,yes
6000000008021895515,Nikkal-Mati,"died (Anatolia), Turkey",2,yes
6000000008062219463,NN,born circa 1430,3,yes
6000000008148226974,Catherine Carter,born 1715,2,yes
6000000008212433993,NN of Parma,21 May 1789 - 21 May 1789,2,yes
6000000008212554740,NN of Parma,21 May 1789 - 21 May 1789,2,yes
6000000008307985554,Hannah Oliver,30 May 1680 - 2 Dec 1706,2,yes
6000000008477767757,Ludwig II von Wippra,died 1151,2,yes
6000000008518488995,Philetaerus,circa -343 - -263,2,yes
6000000008718485083,John Hamby,born 1360,2,yes
6000000008734151519,Hywel ap Madog,born circa 1240,2,yes
6000000008772009634,Elizabeth Oliphant,1558 - 20 Jun 1618,2,yes
6000000008777223834,Gerónima Micaela de Aguiar y Arias,born 14 Nov 1735,2,yes
6000000008806555752,Elias Olofsson Salin,1664 - 1718,2,yes
6000000008816798408,Catharina Robsahm,1746 - 1769,2,yes
6000000008817100056,Catharina Robsahm,1746 - 1769,2,yes
6000000008817769439,NN,"born Rogaland, , Norway",2,yes
6000000008817821231,NN,"born Rogaland, Norway",2,yes
6000000008817995218,NN,"born Rogaland, , Norway",2,yes
6000000008818038201,NN,"born Rogaland, Norway",2,yes
6000000009092437605,NN,born circa 1605,2,yes
6000000009112644112,Tatibek Chingizid,died 1357,2,yes
6000000009112856586,Tatibek Chingizid,died 1357,2,yes
6000000009117639073,NN,born 1615,2,yes
6000000009122757679,Zéphirin Dubois,died 25 Mar 1893,2,yes
6000000009124385492,Philip Hicks,born 1808,2,yes
6000000009153984022,NN,born circa 1200,5,yes
6000000009305175441,Gertrude de Gand,born 1195,2,yes
6000000009354242849,Johann Adolf von Wrangell,1727 - 1774,2,yes
6000000009366312112,Anna Elisabeth von Stryk,died 1710,2,yes
6000000009457379533,Thomas McCarty,"26 Mar 1784 VA - 30 Apr 1863 Putnam, IN",2,yes
6000000009457379550,William McCarty,"1788 Shenandoah, VA - 22 Sep 1848 Putnam, IN",2,yes
6000000009457507611,Thomas McCarty,"26 Mar 1784 VA - 30 Apr 1863 Putnam, IN",2,yes
6000000009457507628,William McCarty,"1788 Shenandoah, VA - 22 Sep 1848 Putnam, IN",2,yes
6000000009626173406,Clement Carrington Read,1805 - 25 Jun 1872,2,yes
6000000009626862107,Louisa Cabell Read,born 14 May 1848,2,yes
