sha,category,bytes,copies,example_path
7771f87718d14ac17941d5a7628daebffec8ac29,Facebook like-button frame,30181,1,"paths_for_wikidata_isolates/Geni - Dauferio Epifani Del Zotto, _Desiderio da Montecassino_ (1027-1087)_files/like.html"
b8a2ac6165737782cba38985ce3e4f403fea77ee,Facebook like-button frame,30181,1,paths_for_wikidata_isolates/Geni - Bertram Charles Middelthon (1879-1961)_files/like.html
e6f26f140362bb9583811e4f219f70ae05638506,Facebook like-button frame,30181,1,paths_for_wikidata_isolates/Geni - Ole RØISLAND (1911-c.1975)- Stavanger_files/like.html
29cbdfd4a7326a49069bef58413cb7b0e8c4f0cd,Facebook like-button frame,30179,1,paths_for_wikidata_isolates/Geni - Bjørn Hervik Nilsen (1937-1966)- Stavanger_files/like.html
638c8fced621a924645f73c6a28b007b70a49e2d,Facebook like-button frame,30179,1,"paths_for_wikidata_isolates/Geni - Prof. Johann FRIEDRICH von Herrenschwand, Dr. (1881-1959)_files/like.html"
99fc2c118f10de8ef006af23c4402d3697693187,Facebook like-button frame,30179,1,paths_for_wikidata_isolates/Geni - Boyine Wilhelmine Martens (1842-d.)_files/like.html
d724f800ada0cecf21e753058be36310998da23e,Facebook like-button frame,30179,1,paths_for_wikidata_isolates/Geni - Carl Frederik Sundt-Hansen (1841-1907)- Stavanger_files/like.html
f6c348ab2b9410bacb22630803c426a54da29aec,Facebook like-button frame,30179,1,paths_for_wikidata_isolates/Geni - Lars Fridthjofsen Tokstad Sem Platou (1920-2003)_files/like.html
b922895b7804577debc5e5e05947c75aa125350a,Facebook like-button frame,30178,1,paths_for_wikidata_isolates/Geni - Ärkebiskop Anton Niklas Sundberg (1818-1900)- Uppsala_files/like.html
3058c85fdc72c6319529214c96f008eeb8e507f4,Facebook like-button frame,30177,1,paths_for_wikidata_isolates/Geni - Karsten Olai Johannessen (1920-1997)- Copenhagen_files/like.html
a38db1f4c9a7b69bae6d77a4eba9c2f817d4a15b,Facebook like-button frame,30177,1,paths_for_wikidata_isolates/Geni - Bjørn Bue (1934-1997)- Stavanger_files/like.html
a5badacdf917704feee1c619a140d6c8ee2939f0,Facebook like-button frame,30177,1,paths_for_wikidata_isolates/Geni - Prof. Dr. Ernst Hermann Riesenfeld (1877-1957)- Stockholm_files/like.html
