token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
anfinsdatter	patronymic	2		create	anfinsdatter	Q30132308	Anfinn				anfinsen	anfin	Q9043
anfinsen	patronymic	2		create	anfinsen	Q30132308	Anfinn				anfinsdatter	anfin	Q9043
anfinson	patronymic	1		create	anfinson	Q30132308	Anfinn				anfinsdatter	anfin	
angantyrsdotter	patronymic	1		create	angantyrsdotter	Q16419538	Angantyr				angantyrsson	angantyrs	Q9027
angantyrsson	patronymic	1		create	angantyrsson	Q16419538	Angantyr				angantyrsdotter	angantyr	Q9027
angelsen	patronymic	1		create	angelsen	Q665157	Angel					angel	Q9043
annadatter	matronymic	1		create	annadatter			Anna(9)			annasson	anna	
annaniasdatter	patronymic	2		create	annaniasdatter	Q121766124 Q20675793	Annanias Ananias				annaniasson	annania	Q9043
annaniasson	patronymic	1		create	annaniasson	Q121766124	Annanias				annaniasdatter	annania	Q9027
annasdotter	patronymic	1		create	annasdotter				Annan		annasson	annas	Q9027
annassen	patronymic	1		create	annassen	Q21147470	Annas				annadatter	annas	Q9043
annasson	matronymic	9		create	annasson			Anna(9)			annadatter	anna	Q9027
annfinnsdotter	patronymic	1		create	annfinnsdotter	Q139807743	Annfinn				annfinnsen	annfinns	Q9027
annfinnsen	patronymic	1		create	annfinnsen	Q30132308	Anfinn				annfinnsdotter	annfinn	Q9043
annfinnson	patronymic	1		create	annfinnson	Q139807743	Annfinn				annfinnsdotter	annfinn	
annibaldi	patronymic	5		create	annibaldi	Q108527462	Annibaldo						
anonsdatter	patronymic	3		create	anonsdatter	Q21018658	Anon					anon	Q9043
ansgariedotter	patronymic	1		create	ansgariedotter	Q85978184	Ansgarius					ansgarie	
ansgariusson	patronymic	7		create	ansgariusson	Q85978184	Ansgarius					ansgariu	Q9027
anson	matronymic	3		create	anson	Q558067 Q566893	Ann Annie	Anna(9)				an	
ansteensdatter	patronymic	1		create	ansteensdatter				Ansten			ansteen	Q9043
ansteinsdatter	patronymic	8		create	ansteinsdatter				Anstein Ansten		ansteinson	anstein	Q9043
ansteinsen	patronymic	2		create	ansteinsen				Ansten Anstein		ansteinsdatter	anstein	Q9043
ansteinson	patronymic	3		create	ansteinson				Anstein		ansteinsdatter	anstein	
anstensdatter	patronymic	6		create	anstensdatter				Ansten		anstensen	ansten	Q9043
anstensen	patronymic	13		create	anstensen				Ansten Anstein		anstensdatter	ansten	Q9043
anstenson	patronymic	2		create	anstenson				Ansten		anstensdatter	ansten	
anthondatter	patronymic	1		create	anthondatter	Q5401576	Anton				anthonsen	anthon	
anthonidatter	patronymic	1		create	anthonidatter	Q21143423	Anthoni				anthonisen	anthoni	
anthonisdatter	patronymic	1		create	anthonisdatter	Q21141858	Anthonius				anthonisen	anthoni	Q9043
anthonisen	patronymic	3		create	anthonisen	Q21141858 Q21143423	Anthonius Anthoni				anthonisdatter	anthoni	Q9043
anthonissen	patronymic	1		create	anthonissen	Q21147478	Anthonis				anthonisdatter	anthonis	Q9043
anthonsdatter	patronymic	4		create	anthonsdatter	Q5401576	Anton				anthonsen	anthon	Q9043
anthonsen	patronymic	6		create	anthonsen	Q5401576 Q21143043	Anton Anthon				anthonsdatter	anthon	Q9043
antiochis	patronymic	3		create	antiochis	Q76009354	Antiochus						
antoni	patronymic	3		create	antoni	Q5401576 Q16898983	Anton Antonius						
antonidatter	patronymic	2		create	antonidatter	Q16898983	Antonius				antonisen	antoni	
antonisdatter	patronymic	3		create	antonisdatter	Q17480899	Antoni				antonisen	antoni	Q9043
antonisen	patronymic	7		create	antonisen	Q17480899	Antoni				antonisdatter	antoni	Q9043
antonissen	patronymic	1		create	antonissen	Q21147478	Anthonis				antonisdatter	antonis	Q9043
antoniusdatter	patronymic	14		create	antoniusdatter	Q16898983	Antonius				antoniussen	antoniu	Q9043
antoniusdotter	patronymic	3		create	antoniusdotter	Q16898983	Antonius				antoniussen	antonius	Q9027
antoniusen	patronymic	1		create	antoniusen	Q16898983	Antonius				antoniusdatter	antoniu	Q9043
antoniussen	patronymic	15		create	antoniussen	Q16898983	Antonius				antoniusdatter	antonius	Q9043
antoniusson	patronymic	9		create	antoniusson	Q16898983 Q5401576	Antonius Anton				antoniusdatter	antoniu	Q9027
antonsdatter	patronymic	71		create	antonsdatter	Q5401576 Q21143043	Anton Anthon				antonsen	anton	Q9043
antonsdotter	patronymic	21		create	antonsdotter	Q5401576 Q16898983	Anton Antonius				antonsen	antons	Q9027
antonsen	patronymic	123		create	antonsen	Q5401576 Q21143043 Q16898983	Anton Anthon Antonius				antonsdatter	anton	Q9043
antonson	patronymic	4		create	antonson	Q5401576 Q17480899	Anton Antoni				antonsdatter	anton	
antonssen	patronymic	1		create	antonssen	Q5401576	Anton				antonsdatter	antons	Q9043
antonsson	patronymic	42		create	antonsson	Q5401576	Anton				antonsdatter	anton	Q9027
antonysdatter	patronymic	1		create	antonysdatter	Q21143423	Anthoni					antony	Q9043
anudsdotter	patronymic	1		create	anudsdotter	Q28854553	Anund					anuds	Q9027
anundsdatter	patronymic	6		create	anundsdatter	Q28854553	Anund				anundsson	anund	Q9043
anundsdotter	patronymic	39		create	anundsdotter	Q28854553	Anund				anundsson	anunds	Q9027
anundsen	patronymic	2		create	anundsen	Q30074072 Q28854553	Aanund Anund				anundsdotter	anund	Q9043
anundson	patronymic	6		create	anundson	Q28854553	Anund				anundsdotter	anund	
anundsson	patronymic	49		create	anundsson	Q28854553	Anund				anundsdotter	anund	Q9027
anunsdatter	patronymic	1		create	anunsdatter				Anun		anunsen	anun	Q9043
anunsen	patronymic	2		create	anunsen				Anun		anunsdatter	anun	Q9043
anunsson	patronymic	1		create	anunsson	Q115680957	Aun				anunsdatter	anun	Q9027
anvedsdatter	patronymic	2		create	anvedsdatter	Q136389252	Anved				anvedsson	anved	Q9043
anvedsdotter	patronymic	7		create	anvedsdotter	Q136389252	Anved				anvedsson	anveds	Q9027
anvedson	patronymic	1		create	anvedson	Q136389252	Anved				anvedsdotter	anved	
anvedsson	patronymic	4		create	anvedsson	Q136389252	Anved				anvedsdotter	anved	Q9027
apelsen	patronymic	1		create	apelsen	Q110402392	Apel					apel	Q9043
apolloniusdatter	patronymic	1		create	apolloniusdatter	Q18200050	Apollonius				apolloniusson	apolloniu	Q9043
apolloniusdotter	patronymic	1		create	apolloniusdotter	Q18200050	Apollonius				apolloniusson	apollonius	Q9027
apolloniussen	patronymic	2		create	apolloniussen	Q18200050	Apollonius				apolloniusdatter	apollonius	Q9043
apolloniusson	patronymic	2		create	apolloniusson	Q18200050	Apollonius				apolloniusdatter	apolloniu	Q9027
arason	patronymic	1		create	arason			Ari(6)				ara	
archibaldsdotter	patronymic	1		create	archibaldsdotter	Q19767773	Archibald					archibalds	Q9027
arendsdotter	patronymic	12		create	arendsdotter	Q16154273 Q97770464 Q15888090	Arend Arendt Arent				arendsson	arends	Q9027
arendsson	patronymic	4		create	arendsson	Q16154273	Arend				arendsdotter	arend	Q9027
arendtsdotter	patronymic	16		create	arendtsdotter	Q97770464	Arendt				arendtsson	arendts	Q9027
arendtson	patronymic	4		create	arendtson	Q97770464	Arendt				arendtsdotter	arendt	
arendtsson	patronymic	20		create	arendtsson	Q97770464 Q21400606	Arendt Arndt				arendtsdotter	arendt	Q9027
arensdatter	patronymic	2		create	arensdatter	Q20829603	Aren				arensen	aren	Q9043
arensen	patronymic	3		create	arensen	Q20829603	Aren				arensdatter	aren	Q9043
arentsdatter	patronymic	30		create	arentsdatter	Q15888090 Q15888082	Arent Arnt				arentsen	arent	Q9043
arentsdotter	patronymic	6	Q83863480	link	arentsdotter	Q97770464 Q15888090	Arendt Arent				arentsen	arents	Q9027
arentsen	patronymic	20		create	arentsen	Q15888090 Q15888082	Arent Arnt				arentsdatter	arent	Q9043
arentson	patronymic	1		create	arentson	Q15888090	Arent				arentsdatter	arent	
arentsson	patronymic	9		create	arentsson	Q15888090 Q97770464	Arent Arendt				arentsdatter	arent	Q9027
arentzdatter	patronymic	5		create	arentzdatter	Q15888090	Arent					arentz	
arertson	patronymic	1		create	arertson	Q124528130	Aret					arert	
aresdatter	patronymic	5		create	aresdatter	Q20024939	Are				aresen	are	Q9043
aresdotter	patronymic	2		create	aresdotter	Q20024939	Are				aresen	ares	Q9027
aresen	patronymic	3		create	aresen	Q20024939	Are				aresdatter	are	Q9043
areson	patronymic	3		create	areson	Q20024939	Are				aresdatter	are	
aresson	patronymic	1		create	aresson			Ari(6)			aresdatter	are	Q9027
aretsdatter	patronymic	8		create	aretsdatter	Q124528130	Aret				aretson	aret	Q9043
aretsdotter	patronymic	3		create	aretsdotter	Q124528130	Aret				aretson	arets	Q9027
aretsen	patronymic	2		create	aretsen	Q124528130	Aret				aretsdatter	aret	Q9043
aretson	patronymic	16		create	aretson	Q124528130	Aret				aretsdatter	aret	
aretsson	patronymic	4		create	aretsson	Q124528130	Aret				aretsdatter	aret	Q9027
arfwedson	patronymic	1		create	arfwedson				Arfwed			arfwed	
ariansdatter	patronymic	1		create	ariansdatter			Arian(2)			ariansen	arian	Q9043
ariansen	patronymic	5		create	ariansen			Arian(2)			ariansdatter	arian	Q9043
arielsen	patronymic	3		create	arielsen	Q1793444	Ariel					ariel	Q9043
arildsdatter	patronymic	11		create	arildsdatter	Q15786788	Arild				arildsen	arild	Q9043
arildsen	patronymic	11		create	arildsen	Q15786788	Arild				arildsdatter	arild	Q9043
arinbjørnsdatter	patronymic	2		create	arinbjørnsdatter				Arinbjørn			arinbjørn	Q9043
arisson	patronymic	3		create	arisson			Ari(6)				ari	Q9027
arithson	patronymic	1		create	arithson	Q124528130	Aret					arith	
aritsdatter	patronymic	4		create	aritsdatter				Arit		aritsen	arit	Q9043
aritsen	patronymic	5		create	aritsen				Arit		aritsdatter	arit	Q9043
arnbjornsdatter	patronymic	1		create	arnbjornsdatter	Q16419750	Arnbjørn				arnbjornsen	arnbjorn	Q9043
arnbjornsen	patronymic	1		create	arnbjornsen	Q16419750	Arnbjørn				arnbjornsdatter	arnbjorn	Q9043
arnbjörnsdotter	patronymic	1		create	arnbjörnsdotter	Q16419750	Arnbjörn					arnbjörns	Q9027
arnbjørnsdatter	patronymic	16		create	arnbjørnsdatter	Q16419750	Arnbjørn				arnbjørnson	arnbjørn	Q9043
arnbjørnsdotter	patronymic	2		create	arnbjørnsdotter	Q16419750	Arnbjørn				arnbjørnson	arnbjørns	Q9027
arnbjørnsen	patronymic	5		create	arnbjørnsen	Q16419750	Arnbjørn				arnbjørnsdatter	arnbjørn	Q9043
arnbjørnson	patronymic	12		create	arnbjørnson	Q16419750	Arnbjørn				arnbjørnsdatter	arnbjørn	
arnbjørnsson	patronymic	6		create	arnbjørnsson	Q16419750	Arnbjørn				arnbjørnsdatter	arnbjørn	Q9027
arndsson	patronymic	1		create	arndsson	Q21400603	Arnd					arnd	Q9027
arnedatter	patronymic	4		create	arnedatter	Q645757	Arne				arnesen	arne	
arnesdatter	patronymic	267		create	arnesdatter	Q645757	Arne				arnesen	arne	Q9043
arnesdotter	patronymic	11		create	arnesdotter	Q645757	Arne				arnesen	arnes	Q9027
arnesen	patronymic	247		create	arnesen	Q645757 Q19868586	Arne Arn				arnesdatter	arne	Q9043
arneson	patronymic	75		create	arneson	Q645757	Arne				arnesdatter	arne	
arnessen	patronymic	2		create	arnessen	Q645757	Arne				arnesdatter	arnes	Q9043
arnesson	patronymic	38		create	arnesson	Q645757	Arne				arnesdatter	arne	Q9027
arnestsen	patronymic	3		create	arnestsen				Arnest			arnest	Q9043
arnfinndatter	patronymic	1		create	arnfinndatter	Q3481835	Arnfinn				arnfinnson	arnfinn	
arnfinnsdatter	patronymic	1		create	arnfinnsdatter	Q3481835	Arnfinn				arnfinnson	arnfinn	Q9043
arnfinnsdotter	patronymic	1		create	arnfinnsdotter	Q3481835	Arnfinn				arnfinnson	arnfinns	Q9027
arnfinnson	patronymic	10		create	arnfinnson	Q3481835	Arnfinn				arnfinndatter	arnfinn	
arnfinnsson	patronymic	2	Q112307008	link	arnfinnsson	Q3481835	Arnfinn				arnfinndatter	arnfinn	Q9027
arnfinsdatter	patronymic	1		create	arnfinsdatter	Q3481835	Arnfinn				arnfinsson	arnfin	Q9043
arnfinsson	patronymic	1		create	arnfinsson	Q3481835	Arnfinn				arnfinsdatter	arnfin	Q9027
arngeirsson	patronymic	2		create	arngeirsson	Q16419793	Arngeir					arngeir	Q9027
arngrimsson	patronymic	12		create	arngrimsson	Q121766185	Arngrim					arngrim	Q9027
arngrímsson	patronymic	1		create	arngrímsson	Q121766185	Arngrim					arngrím	Q9027
arnljotsen	patronymic	1		create	arnljotsen	Q12713511	Arnljot					arnljot	Q9043
arnmodsson	patronymic	1		create	arnmodsson				Arnmod			arnmod	Q9027
arnoldi	patronymic	1		create	arnoldi	Q16766249	Arnoldus						
arnoldsdatter	patronymic	4		create	arnoldsdatter	Q3623461 Q16766249	Arnold Arnoldus				arnoldsen	arnold	Q9043
arnoldsdotter	patronymic	1		create	arnoldsdotter	Q3623461	Arnold				arnoldsen	arnolds	Q9027
arnoldsen	patronymic	5		create	arnoldsen	Q3623461 Q16766249	Arnold Arnoldus				arnoldsdatter	arnold	Q9043
arnoldson	patronymic	2		create	arnoldson	Q3623461	Arnold				arnoldsdatter	arnold	
arnoldsson	patronymic	1		create	arnoldsson	Q3623461	Arnold				arnoldsdatter	arnold	Q9027
arnoldusen	patronymic	1		create	arnoldusen	Q16766249	Arnoldus					arnoldu	Q9043
arnorsson	patronymic	1		create	arnorsson	Q1686433	Arnor					arnor	Q9027
arnsdatter	patronymic	3		create	arnsdatter	Q19868586	Arn					arn	Q9043
arnsdotter	patronymic	2		create	arnsdotter	Q19868586	Arn					arns	Q9027
arnsteinsdatter	patronymic	2		create	arnsteinsdatter	Q33101633	Arnstein				arnsteinsen	arnstein	Q9043
arnsteinsen	patronymic	3		create	arnsteinsen	Q33101633	Arnstein				arnsteinsdatter	arnstein	Q9043
arnsteinson	patronymic	1		create	arnsteinson	Q33101633	Arnstein				arnsteinsdatter	arnstein	
arntsdatter	patronymic	81		create	arntsdatter	Q15888082 Q15888090	Arnt Arent				arntsen	arnt	Q9043
arntsdotter	patronymic	2		create	arntsdotter	Q15888082	Arnt				arntsen	arnts	Q9027
arntsen	patronymic	98		create	arntsen	Q15888082 Q15888090	Arnt Arent				arntsdatter	arnt	Q9043
arntson	patronymic	11		create	arntson	Q15888082	Arnt				arntsdatter	arnt	
arntsson	patronymic	1		create	arntsson	Q15888090	Arent				arntsdatter	arnt	Q9027
arntzdatter	patronymic	1		create	arntzdatter	Q15888090	Arent					arntz	
arnulfsen	patronymic	1		create	arnulfsen	Q18978276	Arnulf					arnulf	Q9043
arnvidsdatter	patronymic	2		create	arnvidsdatter	Q136389167	Arnvid				arnvidsson	arnvid	Q9043
arnvidsson	patronymic	1		create	arnvidsson	Q136389167	Arnvid				arnvidsdatter	arnvid	Q9027
arnórsson	patronymic	3		create	arnórsson	Q1686433	Arnór					arnór	Q9027
aronsdatter	patronymic	6		create	aronsdatter	Q18410868	Aron				aronsson	aron	Q9043
aronsdotter	patronymic	32		create	aronsdotter	Q18410868 Q905085	Aron Aaron				aronsson	arons	Q9027
aronsen	patronymic	9		create	aronsen	Q18410868	Aron				aronsdotter	aron	Q9043
aronsson	patronymic	46		create	aronsson	Q18410868	Aron				aronsdotter	aron	Q9027
arpsdatter	patronymic	3		create	arpsdatter			Arp(3)			arpsen	arp	Q9043
arpsen	patronymic	2		create	arpsen			Arp(3)			arpsdatter	arp	Q9043
arpssen	patronymic	1		create	arpssen			Arp(3)			arpsdatter	arps	Q9043
arrensson	patronymic	1		create	arrensson				Arren			arren	Q9027
artursson	patronymic	1		create	artursson			Artur(3)				artur	Q9027
arvedsdatter	patronymic	1		create	arvedsdatter	Q717011	Arvid				arvedsson	arved	Q9043
arvedsdotter	patronymic	1		create	arvedsdotter	Q717011	Arvid				arvedsson	arveds	Q9027
arvedsson	patronymic	4		create	arvedsson	Q717011 Q23465091	Arvid Arved				arvedsdotter	arved	Q9027
arvesdatter	patronymic	14		create	arvesdatter	Q11959216	Arve				arvesen	arve	Q9043
arvesdotter	patronymic	1		create	arvesdotter	Q11959216	Arve				arvesen	arves	Q9027
arvesen	patronymic	29		create	arvesen	Q11959216	Arve				arvesdatter	arve	Q9043
arvessen	patronymic	1		create	arvessen	Q11959216	Arve				arvesdatter	arves	Q9043
arvidi	patronymic	11		create	arvidi	Q114928755 Q717011	Arvidus Arvid						
arvidii	patronymic	1		create	arvidii	Q717011	Arvid						
arvidsdatter	patronymic	1		create	arvidsdatter	Q717011	Arvid				arvidsson	arvid	Q9043
arvidsdotter	patronymic	227		create	arvidsdotter	Q717011 Q114928755 Q23465091	Arvid Arvidus Arved				arvidsson	arvids	Q9027
arvidsen	patronymic	1		create	arvidsen	Q717011	Arvid				arvidsdotter	arvid	Q9043
arvidsson	patronymic	194		create	arvidsson	Q717011 Q114928755 Q23465091	Arvid Arvidus Arved				arvidsdotter	arvid	Q9027
asbiørnson	patronymic	1		create	asbiørnson	Q721398	Asbjørn					asbiørn	
asbiørnsson	patronymic	1		create	asbiørnsson	Q721398	Asbjørn					asbiørn	Q9027
asbjoernsson	patronymic	1		create	asbjoernsson				Asbjoern			asbjoern	Q9027
asbjornsdatter	patronymic	2		create	asbjornsdatter	Q721398	Asbjørn				asbjornsen	asbjorn	Q9043
asbjornsen	patronymic	2		create	asbjornsen	Q15967275 Q721398	ASBJORN Asbjørn				asbjornsdatter	asbjorn	Q9043
asbjørndatter	patronymic	2		create	asbjørndatter	Q721398	Asbjørn				asbjørnsen	asbjørn	
asbjørnsdatter	patronymic	164		create	asbjørnsdatter	Q721398	Asbjørn				asbjørnsen	asbjørn	Q9043
asbjørnsdotter	patronymic	17		create	asbjørnsdotter	Q721398	Asbjørn				asbjørnsen	asbjørns	Q9027
asbjørnsen	patronymic	117		create	asbjørnsen	Q721398 Q15967275	Asbjørn Asbjorn				asbjørnsdatter	asbjørn	Q9043
asbjørnson	patronymic	57		create	asbjørnson	Q721398 Q15967275	Asbjørn Asbjorn				asbjørnsdatter	asbjørn	
asbjørnsson	patronymic	9		create	asbjørnsson	Q721398	Asbjørn				asbjørnsdatter	asbjørn	Q9027
asbørnsen	patronymic	1		create	asbørnsen	Q721398	Asbjørn					asbørn	Q9043
asgautdotter	patronymic	1		create	asgautdotter	Q16419537	Asgaut				asgautson	asgaut	
asgautsdatter	patronymic	20		create	asgautsdatter	Q16419537	Asgaut				asgautson	asgaut	Q9043
asgautsdotter	patronymic	3		create	asgautsdotter	Q16419537	Asgaut				asgautson	asgauts	Q9027
asgautsen	patronymic	13		create	asgautsen	Q16419537	Asgaut				asgautsdatter	asgaut	Q9043
asgautson	patronymic	23		create	asgautson	Q16419537	Asgaut				asgautsdatter	asgaut	
asgautsson	patronymic	2		create	asgautsson	Q16419537	Asgaut				asgautsdatter	asgaut	Q9027
asgeirsdatter	patronymic	1		create	asgeirsdatter	Q15784195	Asgeir				asgeirsson	asgeir	Q9043
asgeirson	patronymic	1		create	asgeirson	Q15784195	Asgeir				asgeirsdatter	asgeir	
asgeirsson	patronymic	1		create	asgeirsson	Q15784195	Asgeir				asgeirsdatter	asgeir	Q9027
asgoudtsen	patronymic	1		create	asgoudtsen	Q16419537	Asgaut					asgoudt	Q9043
askellsdatter	patronymic	2		create	askellsdatter				Askel		askellson	askell	Q9043
askellson	patronymic	2		create	askellson				Askel		askellsdatter	askell	
askellsson	patronymic	1		create	askellsson				Askel		askellsdatter	askell	Q9027
askelson	patronymic	2		create	askelson	Q120909702	Askil					askel	
askildsdatter	patronymic	19		create	askildsdatter	Q120909360	Askild				askildsen	askild	Q9043
askildsen	patronymic	32		create	askildsen	Q120909360	Askild				askildsdatter	askild	Q9043
askildson	patronymic	7		create	askildson	Q120909360	Askild				askildsdatter	askild	
askildsson	patronymic	4		create	askildsson	Q120909360	Askild				askildsdatter	askild	Q9027
askilsen	patronymic	1		create	askilsen	Q120909702	Askil					askil	Q9043
askjellsdatter	patronymic	1		create	askjellsdatter				Askjell		askjellson	askjell	Q9043
askjellson	patronymic	1		create	askjellson				Askjell		askjellsdatter	askjell	
askjellsson	patronymic	1		create	askjellsson				Askjell		askjellsdatter	askjell	Q9027
askjelson	patronymic	5		create	askjelson				Askjell			askjel	
askjelsson	patronymic	9		create	askjelsson				Askjell Askjel			askjel	Q9027
aslachdatter	patronymic	1		create	aslachdatter				Aslach		aslachsen	aslach	
aslachsdatter	patronymic	8		create	aslachsdatter	Q1457563	Aslak				aslachsen	aslach	Q9043
aslachsen	patronymic	8		create	aslachsen	Q1457563	Aslak		Aslach		aslachsdatter	aslach	Q9043
aslacsdatter	patronymic	1		create	aslacsdatter	Q1457563	Aslak					aslac	Q9043
aslagsdotter	patronymic	2		create	aslagsdotter	Q98447064	Aslag				aslagsson	aslags	Q9027
aslagsson	patronymic	4		create	aslagsson	Q98447064	Aslag				aslagsdotter	aslag	Q9027
aslakdatter	patronymic	1		create	aslakdatter	Q1457563	Aslak				aslaksen	aslak	
aslaksdatter	patronymic	167		create	aslaksdatter	Q1457563	Aslak				aslaksen	aslak	Q9043
aslaksdotter	patronymic	27		create	aslaksdotter	Q1457563	Aslak				aslaksen	aslaks	Q9027
aslaksen	patronymic	151		create	aslaksen	Q1457563	Aslak		Aslach		aslaksdatter	aslak	Q9043
aslakson	patronymic	66		create	aslakson	Q1457563	Aslak				aslaksdatter	aslak	
aslaksson	patronymic	40		create	aslaksson	Q1457563	Aslak				aslaksdatter	aslak	Q9027
asledotter	patronymic	1		create	asledotter	Q11959388	Asle				aslesen	asle	
aslesdatter	patronymic	9		create	aslesdatter	Q11959388	Asle		Asles		aslesen	asle	Q9043
aslesen	patronymic	10		create	aslesen	Q11959388	Asle				aslesdatter	asle	Q9043
