qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q55830004	6000000002188559400	Maria of Nuremberg	Marie von Nürnberg	6000000003897426336	6000000001500928224	Q370902	Q55445613;Q75289133	father: their Q370902 carries no Geni id | mother: their Q55445613 carries no Geni id | mother: their Q75289133 carries 6000000003858690611, ours is 6000000001500928224
Q20005554	6000000002205617469	Marcus Livius Drusus	Marcus Livius Drusus	6000000003827963052	6000000003513109857	Q703448;Q432244		father: their Q703448 carries no Geni id | father: their Q432244 carries 6000000001416177551, ours is 6000000003827963052 | mother: none on the item
Q295175	6000000002228883916	Theuderic III	Theodoric	5478155622450039203	5478155610770039297	Q309919	Q237750	mother: their Q237750 carries 6000000063637640913, ours is 5478155610770039297
Q2004925	6000000002248177181	Alberic II, Count of Dammartin	Aubri de Mello chambrier de France, sieur de Dammartin	6000000000535401257	6000000000535283581	Q101166825	Q101166831	father: their Q101166825 carries 6000000022348390908, ours is 6000000000535401257 | mother: their Q101166831 carries no Geni id
Q140366783	6000000002278888556	菊池多美子		6000000002278985734	6000000002278888588	Q976582		father: their Q976582 carries 6000000012637096259, ours is 6000000002278985734 | mother: none on the item
Q1916706	6000000002315826000	Ermesinde of Luxembourg, Countess of Namur	Ermesinde I de Luxembourg	6000000002043214614	6000000222062726852	Q749731	Q1811683	father: their Q749731 carries no Geni id | mother: their Q1811683 carries 6000000012469454652, ours is 6000000222062726852
Q110561253	6000000002360107690	Ebba Göransdotter av Bronäs	Anna Mattsdotter Kagg	6000000001950346646	6000000003275920163	Q110548971	Q104550329	father: their Q110548971 carries no Geni id | mother: their Q104550329 carries 6000000001949969800, ours is 6000000003275920163
Q181064	6000000002377207214	Audofleda	Audofleda	6000000005913253971	6000000003772264436	Q193869	Q268562	mother: their Q268562 carries 6000000093230535961, ours is 6000000003772264436
Q50824515	6000000002447424939	Violetta Lyon	Violetta Lyon of Glamis	6000000001783474478	6000000006444357812	Q7147044;Q16850543	Q75252042	father: their Q7147044 carries 6000000002187931915, ours is 6000000001783474478 | mother: their Q75252042 carries no Geni id
Q75446916	6000000002447429231	Lady Anne Percy	Anne Percy	6000000000448299235	6000000000842680234	Q2521911	Q75249624	father: their Q2521911 carries 6000000001863346413, ours is 6000000000448299235 | mother: their Q75249624 carries no Geni id
