qid	latin	ja	zh
Q10295543	Hilary Arthur Reuel Tolkien	ヒラリー・アーサー・リューエル・トールキン	希拉里·阿瑟·鲁埃尔·托尔金
Q10295721	Zhang Gang		张纲
Q10295840	Zhang Jian	張薦	张荐
Q10295868	Zhang Xingcheng		张行成
Q10295880	Zhang Biaochen		张表臣
Q10295889	Zhang Yue	張説	张说
Q10295911	Zhang Bangji		张邦基
Q10295919	Zhang Yong		张雍
Q10295973	Qiang Zhi		强至
Q10296073	Peng Cheng		彭乘
Q10296338	Xu Fu		徐复
Q10296340	Xu Tianlin		徐天麟
Q10296401	Xu Qingsou		徐清叟
Q10296407	Xu Ji	徐璣	徐玑
Q10296413	Xu Xi		徐禧
Q10296415	Xu Ji		徐积
Q10296421	Xu Ziming		徐自明
Q10296423	Xu Fan		徐范
Q10296426	Xu Rongsou		徐荣叟
Q10296436	Xu Kai	徐カイ	徐锴
Q10297002	Mahalalel	マハラレル	玛勒列
Q10297036	Fang Yizhi	房遺直	房遗直
Q10297039	Hu Meng		扈蒙
Q102984	Kristin von der Goltz	クリスティン・フォン・デア・ゴルツ	
Q10298703	Hubert R. Harmon		休伯特·哈蒙
Q10298779	Hugo Napoleão do Rego		雨果·拿破仑·雷戈
Q102988	Wichard von Alvensleben	ヴィヒャルト・フォン・アルフェスレーベン	維查德·馮·阿爾文斯萊本
Q10299269	Jing Bo		敬播
Q10300103	Wen Jifu		文及甫
Q1030080	Hans Olde	ハンス・オルデ	
Q10301066	Wen Weng		文翁
Q10301346	Ilka Soares	イルカ・ソアレス	
Q1030244	Tadeusz Brzeziński		塔德乌什·布热津斯基
Q1030299	Earl Butz	アール・ラウアー・バッツ	厄尔·巴茨
Q1030307	Igor Grabar	イーゴリ・グラーバリ	伊戈尔·格拉巴里
Q1030337	Shigeko Higashikuni	東久邇成子	东久迩成子
Q10303605	Irineu Marinho		伊里内乌·马里尼奥
Q1030368	Nobuhito Takamatsu	高松宮宣仁親王	高松宫宣仁亲王
Q1030373	Kazuko Takatsukasa	鷹司和子	鹰司和子
Q10303804	Elisabeth Magdalena of Hesse-Darmstadt		伊丽莎白·玛格达莱娜
Q10304780	Pepe Freud	ヤーコプ・フロイト	
Q10304982	Jair Bolsonaro	ジャイール・ボルソナーロ	雅伊尔·博索纳罗
Q10305089	James Jordan	ジェームズ・ジョーダン	詹姆斯·乔丹
Q10305226	Janet Auchincloss Rutherfurd		珍妮·欧勤克劳斯
Q10305313	Januário Correia de Almeida		欧美德
Q1030643	Luis Julian de Milà	ルイス・フアン・デ・ミラ	路易斯·德·米拉·德·博爾哈
Q10306630	Public Universal Friend		公共普遍朋友
Q10307245	Joaquim José da Graça		贾若敬
Q10307334	Joaquim Nabuco	ジョアキン・ナブーコ	
Q10307427	Joaquim Teotônio Segurado		若阿金·特奧托尼奧·瑟古拉多
Q10307804	John Baldwin		约翰·鲍德温
Q10307863	John Lafayette Camp	ジョン・ラファイエット・キャンプ	約翰·拉法耶特·坎普
Q10307903	John W. F. Dulles	ジョン・W・F・ダレス	
Q10307923	Fang Shao		方勺
Q10308129	Fang Shanjing		方山京
Q10308428	Fang Dengyi		方登峄
Q10308598	Joseph Lesniewski	ジョセフ・レシニェフスキー	
Q10308615	Yu Ao	于敖	于敖
Q10308616	Josh Blaylock		乔什·布莱洛克
Q10308650	Josserando Bers	ジョスラン・ベール・ド・スミュール	
Q1030878	Hartwig Derenbourg	アルトヴィグ・ドランブール	哈特維格·德倫堡
Q10308824	José Antônio Correia da Câmara		若泽·安东尼奥·科雷亚·达·卡马拉
Q10308892	José Augusto Bezerra de Medeiros	ジョゼ・アウグスト・べゼーラ・デ・メデイロス	
Q10309144	José Carlos de Figueiredo Ferraz	ジョゼ・カルロス・デ・フィゲイレド・フェラーズ	何塞·卡洛斯·代·菲格雷多·费拉斯
Q10309245	José César Ferreira Gil		費雷拉·吉爾
Q10309362	José Feliciano Fernandes Pinheiro	ジョゼ・フェリシアノ・フェルナンデス・ピニェイロ	
Q10309461	Shi Chou		施雠
Q1031	France Prešeren	フランツェ・プレシェーレン	弗兰策·普列舍仁
Q10310585	José Tomás Nabuco de Araújo	ジョゼ・トマス・ナブコ・デ・アラウジョ・フィリョ	
Q10311023	Dong Wang		汪東
Q10311081	João Antônio de Miranda	ジョゼ・アントニオ・デ・ミランダ	
Q10311413	João Doria	ジョアン・ドリア	若昂·多里亚
Q10311426	João Dória		若昂·多里亚
Q10311655	João Jorge Saad		约奥·萨阿德
Q10311886	Young Sen-Yat	楊仙逸	杨仙逸
Q10312102	João Propício Mena Barreto	ジョアン・プロピシオ・メナ・バレト	
Q10312484	João de França Castro e Moura		赵若望
Q10312500	João de Mascarenhas	ジョアン・デ・マスカレニャス	
Q103132	Agnes Bernelle	アグネス・バーネル	
Q10313281	Jyrki Kovaleff		吉尔基·科瓦莱夫
Q1031340	Mark Linkous		馬克·林庫斯
Q10313413	Júlio César de Noronha	ジュリオ・セザール・デ・ノローニャ	朱利奥·凯撒·德·诺罗尼亚
Q1031347	Karl Kupelwieser		卡尔·佩尔韦塞特
Q10313499	Júlio de Mesquita Filho	ジュリオ・デ・メスキータ・フィリョ	胡里奥·德·梅斯基塔·菲略
Q10313955	Shi Shaozhang		时少章
Q10313982	Kate Lyra	ケイト・ライラ	凯特·莱拉
Q10314243	Kevin Systrom	ケビン・サイストロム	凱文·斯特羅姆
Q10314770	Kumaragupta III	クマーラグプタ3世	鳩摩羅笈多三世
Q10315513	Iris Mountbatten	アイリス・マウントバッテン	伊丽丝·蒙巴顿小姐
Q103157	Kurt Russell	カート・ラッセル	库尔特·拉塞尔
Q10316521	Laudo Natel	ラウド・ナテル	
Q10317793	Chao Jiong		晁迥
Q1031976	Alan fitz Walter	第2代王室執事長アラン・フィッツ・ウォルター	
Q1031989	Louisa Burnaby		卡罗琳·路易莎·伯纳比
Q10320111	Loye Holmes Miller		洛耶·H·米勒
Q1032012	Lancelot Blackburne		兰斯洛特·布莱克本
Q1032088	Félix de Avelar Brotero	フェリックス・アヴェラール・ブロテロ	
Q10321252	Luís António de Sousa Botelho Mourão		路易斯·安東尼奧·索薩·博特略·莫朗
Q10321458	Luís Gastão d'Escragnolle Dória	ルイス・ガスタン・ダスクラニョール・ドリア	
Q10321788	Luís do Rego Barreto		路易斯·多·雷戈·巴雷托
Q10321870	Lyor Cohen	リオール・コーエン	
Q103231	Carl Miele	カール・ミーレ	
Q10323112	Cao Liyong		曹利用
Q1032312	Archduke László Philipp of Austria	ラディスラウス・フィリップ・フォン・エスターライヒ	
Q1032321	Archduchess Maria Karoline of Austria	マリア・カロリーナ・フォン・エスターライヒ	奧地利的瑪麗亞·卡羅琳娜
Q1032332	Alexander Muir		亚历山大·缪尔
Q1032335	John Boyle	ジョン・ボイル	第五代科克伯爵约翰·波义耳
Q10323658	Cao Jing		曹泾
Q10323734	Cao Yingshu		曹颖叔
Q10324366	Manuel Marques de Sousa	マヌエル・マルケス・デ・ソウザ	
Q10324490	Zeng Xiaokuan		曾孝宽
Q10324514	Manuel Teles da Silva	マヌエル・テレシュ・ダ・シウヴァ	
Q10324555	Zeng Xiaoyun		曾孝蕴
Q10324860	Mara Carvalho		玛拉·卡瓦略
Q10324996	Marcela Temer	マルセラ・テメル	馬塞拉·特梅爾
Q10325099	Marcelo Faria		马塞洛·法利亚
Q10325473	Marcos Paulo		馬可斯·保羅
Q10325595	Margarida Carpinteiro		玛格丽特·卡彭特
Q10325871	Maria Gladys		瑪麗亞·格拉迪斯
Q10326110	Maria Veleda		玛丽亚·韦莱达
Q10326570	Marjorie Guthrie	マージョリー・ガスリー	
Q10326839	Martim Afonso Chichorro		馬丁·阿方索·奇科洛
Q10327090	Marília Gabriela		玛丽莉亚·加布里埃拉
Q1032793	Henrik Hajós	ハヨーシュ・ヘンリク	
Q10327963	Mead Treadwell		米德·崔德威
Q103285	José Martí	ホセ・マルティ	何塞·马蒂
Q103296	Kurt Pinthus	クルト・ピントゥス	
Q10329704	Miguel Alandia Pantoja		米格尔·阿兰迪亚·潘托哈
Q10329706	Miguel Albuquerque	ミゲル・アルブケルケ	米格爾·阿爾伯克基
Q10329947	Mike Krieger	マイク・クリーガー	迈克·克里格
Q1032998	Samuel S. Cox	サミュエル・サリヴァン・コックス	
Q1033011	Candido Cannavò	カンディード・カンナーヴォ	
Q1033016	Halle Berry	ハル・ベリー	荷莉·貝瑞
Q103303	Bruno Kühn	ブルーノ・キューン	
Q10330338	Zhu Bian		朱弁
Q10331089	Zhu Yi		朱翌
Q10331300	Zhu E		朱谔
Q10331388	Li Zhiyi	李執宜	朱邪执宜
Q103317	Philipp Grimm	フィリップ・ヴィルヘルム・グリム	
Q1033173	Titus Flavius Sabinus	フラウィウス・サビヌス	
Q10332182	Li Jiuling		李九龄
Q10332231	Li Yunshu	李雲書	李云书
Q10332262	Li Liang		李亮
Q10332436	Li Ji		李佶
Q10332536	Li Bao		李保
Q10332683	Li Yuanyi	李元懿	李元懿
Q10332880	Li Quan	李全	李全
Q1033321	William Appleman Williams	ウィリアム・A・ウィリアムズ	
Q103333	Odoacer	オドアケル	奥多亚塞
Q10333344	Li Gu	李固	李固
Q10333491	Li Kan		李堪
Q1033351	Edmund Waller	エドマンド・ウォラー	埃德蒙·和勒
Q10333884	Li Cunli		李存礼
Q10333929	Li Cunmei	李存美	李存美
Q10334062	Li Shouzhen		李守贞
Q10334181	Li Xuan		李宣
Q10334260	Márcia Kubitschek		马西娅·库比契克
Q103343	Jennifer Connelly	ジェニファー・コネリー	詹妮弗·康纳利
Q10334324	Márcio Moreira Alves		马斯奥·莫雷拉·阿尔维斯
Q10334412	Li Qi		李岐
Q10334500	Li Yi		李峄
Q10334525	Li Xian		李岘
Q10334553	Li Jun		李峻
Q10334646	Li Cuo		李嵯
Q10334669	Li Yi	李嶷	李嶷
Q10334695	Li Shizhong		李师中
Q10334752	Li Youwu		李幼武
Q10334812	Li Zhi		李廌
Q10334836	Li Yanbo		李延伯
Q10334889	Li Tinggui	李廷珪	李廷珪
Q10335022	Li Congshan		李从善
Q10335031	Li Deliang		李德良
Q10335039	Li Dechu		李德刍
Q10335078	Li Xinchuan	李心伝	李心传
Q10335214	Li Xun		李恂
Q10335322	Li Yue		李悦
Q10335390	Li Yin		李愔
Q10335476	Li Dan		李憺
Q10335499	Li Yi	李懌	李怿
Q10335524	Li Cheng		李成
Q10335712	Li Chengji		李承箕
Q10335983	Li Fangzi		李方子
Q10336020	Li Hao		李昊
Q103361	Walter Renneisen		沃尔特·雷尼森
Q10336126	Nelson Werneck Sodré	ネウソン・ヴェルネック・ソドレ	
Q10336135	Li Hui	李晦	李晦
Q10336473	Li Zhengmin		李正民
Q1033656	Hans Alfredson	ハンス・アルフレッドソン	汉斯·阿尔弗雷德森
Q10336685	Li Ze		李泽
Q10336705	Li Jing		李泾
Q1033676	Isaac Cline		艾薩克·克萊恩
Q10336787	Nicolaus Johann van Beethoven	ニコラウス・ヨハン・ヴァン・ベートーヴェン	尼古劳斯·约翰·范·贝多芬
Q10336794	Li Qia	李洽	李洽
Q10337238	Li Jian		李瑊
Q1033741	Péter Hanák		哈纳克·彼得
Q10337438	Li Zhixiao		李知孝
Q10337514	Li Yi		李祎
Q10337824	Li Zun		李遵
Q10337964	Li Shan		李缮
Q10338022	Li Hui		李绘
Q10338085	Li Ji		李绩
Q10338127	Li Wei		李维
Q10338313	Li Shunju		李舜举
Q10338351	Li Ruoxu		李若虚
Q10338468	Li Ai		李蔼 (唐朝宗室)
Q10338578	Li Jie		李诫
Q10338604	Li Liang	李諒	李谅
Q10338646	Li E		李谔
Q10338690	Li Qian		李谦
Q1033882	Fabio Aru	ファビオ・アール	法比奥·阿鲁
Q10338937	Li Nai		李迺
Q10338963	Li Tong		李通
Q10339093	Li Daoming		李道明
Q10339141	Li Su		李溯
Q10339208	Li Yu		李遹
Q10339233	Li Bangyan	李邦彦 (北宋)	李邦彦
Q10339781	Li Fu		李黼
Q10339856	Li Guinian	李亀年	李龟年
Q10340192	Du Sheng		杜胜
Q10340350	Du Shu		杜庶
Q10340914	Du Pengju		杜鹏举
Q1034103	Imperial Uncle Cao	曹国舅	曹国舅
Q1034113	Harriet Smithson	ハリエット・スミスソン	哈麗艾特·史密森
Q10341447	Yang Daya		杨大雅
Q10341540	Yang Hongzhong		杨宏中
Q10341764	Yang Hongli	楊弘礼	杨弘礼
Q1034181	Algernon Sidney	アルジャーノン・シドニー	阿爾傑農·西德尼
Q10342159	Yang Ji		杨汲
Q10342428	Yang Hong		杨纮
Q10342553	Otávio Mangabeira	オクタヴィオ・マンガベイラ	
Q10342622	Yang Zantu		杨赞图
Q10342645	Yang Zanyu		杨赞禹
Q10343063	Hang Wenru		杭温如
Q103437	Celestine III	ケレスティヌス3世	塞莱斯廷三世
Q1034543	George Granville	ジョージ・グレンヴィル (初代ランズダウン男爵)	
Q10346439	Lin Chongzhi		林冲之
Q10346479	Lin Qianzhi		林千之
Q10346666	Lin Danai		林大鼐
Q10346962	Lin Xiyi	林希逸	林希逸
Q10347158	Lin Shu		林摅
Q10347349	Lin Jingxi		林景熙
Q10347372	Pedro Calmon	ペドロ・カウモン	
Q10347547	Lin Gai		林概
Q10347670	Pedro Osório		佩德羅·奧索留
Q10347710	Pedro Ventura Felipe de Araújo Pomar		佩德罗·波马尔
Q10347861	Pedro de Freitas Branco	ペドロ・デ・フレイタス・ブランコ	
Q103479	Thea Sternheim		西娅·斯特恩海姆
Q10348303	Lin Yun		林蕴
Q10348617	Lin Ting		林霆
Q10348962	Peter Ritchie Calder	リッチー・カルダー	
Q10349696	Pietro Fittipaldi	ピエトロ・フィッティパルディ	皮耶特羅·菲蒂帕爾迪
Q1035	Charles Darwin	チャールズ・ダーウィン	查尔斯·达尔文
Q10350183	Liu Zhongying		柳仲郢
Q10350263	Liu Gongchuo		柳公绰
Q10350503	Liu Ji	柳機	柳机
Q10350820	Liu Shu	柳述	柳述
Q10350833	Polidoro César Burlamaqui	Polidoro César Burlamaqui	
Q103524683	Elias Austin	イライアス・オースティン	
Q103528619	Charles Atwood White	チャールズ・アトウッド・ホワイト	
Q103528645	Martha White	マーサ・ホワイト	
Q103528800	Frances Spencer White	フランセス・スペンサー・ホワイト	
Q1035295	Éva Henger	エヴァ・ヘンガー	伊娃·亨格
Q10353016	Gui Wanrong	桂万栄	桂万荣
Q1035345	Caradoc Freichfras	カラドク	卡拉道克
Q103537102	Elizabeth Eaton	エリザベス・イートン	
Q1035378	Henry Spelman		亨利·斯佩尔曼
Q1035419	Herbert Pell		赫伯特·佩爾
Q103554590	Imogen Hawthorne	イモージェン・ホーソーン	
Q103556	Henrik II av Det tysk-romerske rike	ハインリヒ2世	亨利二世
Q10356212	Liang Yin	梁寅	梁寅
Q1035666	Lajos Hernádi	ヘルナーディ・ラホス	
Q103570	Erasmus Robert von Patow	ロベルト・フォン・パトー	
Q103578	Macaulay Culkin	マコーレー・カルキン	麦考利·卡尔金
Q10359345	Renato Machado	レナート・マチャード	
Q1035958	Carey Wilson	ケアリー・ウィルソン	嘉莉·威森
Q10359721	Yang Xin		杨信
Q10359797	Yang Yuanqing		杨元卿
Q103598	Luc Montagnier	リュック・モンタニエ	吕克·蒙塔尼耶
Q10360383	Yang Yi	楊懿	杨懿
Q10360464	Yang Riyan		杨日严
Q10360558	Yang Dong		杨栋
Q10360699	Yang Cishan		杨次山
Q10360753	Yang Rushi		杨汝士
Q10361214	Ricardo Ribeiro do Espírito Santo Silva		里卡多·埃斯皮里托·桑托
Q103625	Nicholas IV	ニコラウス4世	尼古拉四世
Q1036255	Paul Jaray	パウル・ヤーライ	
Q10363244	Fan Zhigu	樊若水	樊知古
Q10363272	Lou Guang		楼光
Q10363294	Lou Chang		楼常
Q10363322	Lou Yi		楼异
Q10363361	Roberto Irineu Marinho		罗伯托·艾里内·马里尼奥
Q10363692	Rodolfo Crespi	ロドルフォ・クレスピ	
Q10364190	Rolls Gracie	ホーウス・グレイシー	
Q1036433	Carl-Axel Acking		卡尔-阿克塞尔·阿金
Q10364348	Ronaldo Caiado	ロナルド・カイアード	
Q103646	Ron Howard	ロン・ハワード	朗·霍华德
Q1036479	Taksi	タクシ	塔克世
Q103651	Glenn Miller	グレン・ミラー	格伦·米勒
Q10365264	Quan Qu	権璩	权璩
Q10365310	Rui Palmeira		鲁·帕尔梅拉
Q1036674	Carl Abraham Pihl	カール・アブラハム・ピル	卡尔·亚伯拉罕·皮尔
Q10366772	Ouyang Guan		欧阳观
Q10367469	Wu Yuanshuang	武元爽	武元爽
Q1036784	Yelü Bei	耶律突欲	耶律倍
Q1036789	Qian Chu	銭弘俶	钱弘俶
Q10368525	Saturnino de Sousa e Oliveira Coutinho	サトゥルニノ・デ・ソウザ・エ・オリヴェイラ・コウティーニョ	
Q1036858	Carl August Ehrensvärd	カール・アウグスト・エーレンスヴァルド	
Q1036871	Wu Lien-teh	伍連徳	伍连德
Q1036904	Carl August Tanton	カール・アウグスト・タントン	
Q10369156	Sebastião da Rocha Pita		塞巴斯蒂昂·達·羅沙·皮塔
Q1037050	Carl Bertelsmann	カール・ベルテルスマン	
Q1037067	Carl Berner		卡爾·伯能
Q10371453	Mao Pang		毛滂
Q1037151	Carl Bonde		卡尔·邦德
Q1037441	Leo Sirota	レオ・シロタ	列奥·西罗塔
Q103756	Eddy Merckx	エディ・メルクス	艾迪·莫克斯
Q1037626	Carl Eldh	カール・エルド	
Q1037711	Carl Akeley	カール・アケリー	卡尔·埃克利
Q103774	Ravi Shankar	ラヴィ・シャンカル	拉维·香卡
Q103784	Donald Sutherland	ドナルド・サザーランド	唐纳德·萨瑟兰
Q10378427	Shaoyu Jiang	江少虞	江少虞
Q1037848	Carl Foreman	カール・フォアマン	卡尔·福门
Q10378748	Jiang Wenwei		江文蔚
Q103788	Mervyn LeRoy	マーヴィン・ルロイ	茂文·勒鲁瓦
Q1037888	Carl Frederik Tietgen	カール・フレデリック・ティットゲン	C·F·蒂特根
Q10379439	Tang Yue		汤悦
Q10379457	Wang Yifeng		汪仪凤
Q10379466	Wang Siwen		汪思温
Q10379479	Wang Chucai		汪楚材
Q10379511	Fenyang Shanzhao	汾陽善昭	汾阳善昭
Q10379533	Shen Zuozhe		沈作喆
Q10379589	Shen Jizu		沈继祖
Q10379593	Shen Qi		沈起
Q1038039	Fu Xun	傅巽	傅巽
Q10380535	Princess Teresa Teodora of Orléans-Braganza	テレザ・テオドラ・デ・オルレアンス・イ・ブラガンサ	
Q10381454	Hong Zikui		洪咨夔
Q10381917	Hong Qin		洪芹
Q103820979	Wan Tempawan Wan Hanapi		旺·登巴旺
Q10382117	Hong Chu		洪刍
Q10382313	Tiago Abravanel	ティアゴ・アブラヴァネル	蒂亚戈·阿布拉瓦内尔
Q103836586	Thankful Tanner	サンクフル・タナー	
Q103836589	William Tefft	ウィリアム・テフト	
Q103836978	Maria Louisa Lyman	マリア・ルイーザ・ライマン	
Q103837175	Clara Caroline Lyman	クララ・キャロライン・ライマン	
Q103837180	Caroline Clara Callister	キャロライン・クララ・キャリスター	
Q1038384	Carl Gottlieb Hering	ヘリング	
Q103838608	Pedro Castillo	ペドロ・カスティーヨ	佩德罗·卡斯蒂略
Q1038417	Carl G. Fisher	カール・G・フィッシャー	卡爾·G·費雪
